Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
STX7,1701596062.9439518,1627984768.5257082,1620395492.0374222,1584658765.6105676,1615018482.7861366,1844628177.966929,936157480.8395264,STX7
STX8,23549241.38051869,9841873.227128526,9841873.227128526,9735619.092046883,9735619.092046883,9735619.092046883,9735619.092046883,STX8
STXBP1,86966368161.15442,119244670976.1305,107931666460.16072,84233820877.91502,70718601667.22772,98300380726.89882,63924452931.27871,STXBP1
STXBP3,591651755.3552799,489933093.0182456,754047106.549316,664456681.094118,573422070.3199747,553088651.7188914,217528026.06217295,STXBP3
STXBP5,1541234415.0724065,1456827114.6306806,1507232673.1422029,1053218922.0371015,1091586249.9799073,1060694286.0066637,998312320.920862,STXBP5
STXBP5L,204239734.7170261,395332679.1926464,192520997.41100955,343573928.072196,53516184.46031155,188580394.9243339,53516184.46031155,STXBP5L
STXBP6,398710894.8934009,575495448.7452861,788502556.416223,411991766.1124721,360106438.43277633,391530706.810425,148981992.61159673,STXBP6
SUB1,1097446839.4250162,929596183.8555473,787712188.5249382,920384785.2592752,1208803070.247477,1329513545.4442933,789021623.1143553,SUB1
SUCLA2,8226123037.851408,10672328458.33513,8939907190.535557,9060147713.06495,7662235678.888052,9175845594.212458,6430656789.853476,SUCLA2
SUCLG1,2397010154.513371,3335501736.597621,3054276882.8594184,2373840510.6613336,2316634815.272369,2688831459.7206945,2093649511.8328364,SUCLG1
SUCLG2,225297610.0417069,160855558.97750783,208865515.39925483,149766056.56760085,77746765.62280135,160475925.41299942,18546235.56187897,SUCLG2
SUGP2,89767599.03475215,172618852.3528195,107484641.63186108,43450985.99909017,43450985.99909017,148437875.113276,43450985.99909017,SUGP2
SUGT1,1480433621.6267006,1205030333.5530095,1550374114.6448002,1231666643.3796105,1277879751.414424,1149044039.9086175,693694431.3446755,SUGT1
SULT1A1;SULT1A2,142689089.44087663,155185644.52723277,144518783.66702145,469968723.25720567,162524790.72772682,226846919.8769131,16184655.804798713,SULT1A1
SULT4A1,874861297.6109947,966018016.7184367,903660641.0681801,682511284.4889513,547039835.4293069,454534527.4684927,393762148.6601478,SULT4A1
SUMF2,35098244.70511258,11920698.788811555,11920698.788811555,9784371.21288336,9784371.21288336,9784371.21288336,9784371.21288336,SUMF2
SUMO1,10179603.606168272,10179603.606168272,10179603.606168272,9573203.83464592,9573203.83464592,9573203.83464592,9573203.83464592,SUMO1
SUMO2,13141337.11182082,13141337.11182082,13141337.11182082,8984402.592628224,8984402.592628224,8984402.592628224,8984402.592628224,SUMO2
SUN2,33236196.60310249,3423130.3458153093,53527143.29267125,35699315.38380808,35699315.38380808,35699315.38380808,35699315.38380808,SUN2
SUOX,69362982.43537872,84024870.15118864,6421503.801642623,34932355.07031462,34932355.07031462,34932355.07031462,34932355.07031462,SUOX
