Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
MYEOV2,48355112.37982481,70105555.49915574,8438103.901351053,69568304.58355956,69568304.58355956,69568304.58355956,69568304.58355956,MYEOV2
MYH10,15869530936.872662,12614422189.117315,12264283712.590117,15639815483.338346,15195084481.171144,15306752313.067709,14071629334.379862,MYH10
MYH11,195625309.30134204,493244079.91062856,284953006.94918567,349259557.071755,20989420.077226873,185955455.5982324,303299167.7413292,MYH11
MYH14,246040813.67626897,365173950.4252821,416393489.40269,524235821.557008,450329918.3158636,285607087.1061338,790264352.5271045,MYH14
MYH3,9429793.874179056,9429793.874179056,9429793.874179056,12525740.077963894,12525740.077963894,12525740.077963894,12525740.077963894,MYH3
MYH7B,9185571.228351034,69663761.48102698,9185571.228351034,9788721.064474532,9788721.064474532,9788721.064474532,9788721.064474532,MYH7B
MYH8,10125376.201406244,10125376.201406244,10125376.201406244,12500707.324990338,12500707.324990338,12500707.324990338,12500707.324990338,MYH8
MYH9,4117275214.214292,4556089340.659528,4748128416.023093,5373199201.028718,4493858603.613463,6038202988.91031,6166248127.665625,MYH9
MYL12A;MYL12B,2256902636.0877323,2353077721.833876,2014570032.1923816,2506789500.3739038,2170218582.957916,2506724329.638025,1575280357.021853,MYL12A
MYL3,47090042.52113561,10727207.796191432,10727207.796191432,10634131.79312866,10634131.79312866,106517472.39406411,123373428.36421163,MYL3
MYL6,1662348964.6344655,2246222334.599237,2136298695.038216,1759372787.9676065,2311467402.640834,2044267198.6129813,2490760634.793841,MYL6
MYL6B,1247554092.0426128,1051678826.1716416,1221171589.4906795,2083426981.936415,2017688955.284297,1686688511.340883,1915821889.2978144,MYL6B
MYL9,7595618.799121236,7595618.799121236,7595618.799121236,18083911.100499425,18083911.100499425,18083911.100499425,18083911.100499425,MYL9
MYLK,54775720.05569355,322369798.88911813,267623834.7113259,262235147.5913604,12749519.795902453,12749519.795902453,312436998.49935097,MYLK
MYO18A,3278377540.848401,2010170632.07375,1867267352.3945293,2893474375.35986,2236989708.5770907,2576263716.7562065,2425425874.3748875,MYO18A
MYO1A,9964513.986802304,9964513.986802304,9964513.986802304,9619766.695752935,9619766.695752935,9619766.695752935,9619766.695752935,MYO1A
MYO1B,1064434744.9083568,805954640.8738799,797268590.1366076,1642315568.3406234,1633320874.2745304,1526664956.8909955,714766740.617328,MYO1B
MYO1C,85708293.49156179,66827383.34977526,87146889.91762528,64062680.1923966,32852405.89928539,32852405.89928539,32852405.89928539,MYO1C
MYO1D,450571822.2133272,1012527066.1695248,1559458265.922398,1292716220.2013063,604746331.0356357,238984955.19764107,2252438511.6776123,MYO1D
MYO1F;MYO1E,10145030.300661163,10145030.300661163,10145030.300661163,10438155.993459083,10438155.993459083,10438155.993459083,10438155.993459083,MYO1F
MYO5A,13737961408.202314,13100152402.130943,13842742646.290995,13182707904.00719,14266518582.168781,13304856769.1584,12962058238.329977,MYO5A
MYO6,250727478.61060184,252363495.26103818,433776313.6689291,368447855.9115109,513409870.9820241,346135855.58382714,557543728.0618906,MYO6
MYO9A,61895471.16461813,74865868.62214541,59757224.53875558,17310923.031387918,17310923.031387918,17310923.031387918,17310923.031387918,MYO9A
MYPN,405571489.72860944,186222127.34978768,407486180.8301672,218632763.92248997,552005540.1430513,412032738.46713215,1563807395.6869586,MYPN
MYRIP,10199144.017417597,10199144.017417597,10199144.017417597,10145704.122323845,10145704.122323845,10145704.122323845,10145704.122323845,MYRIP
MZT2B,26006152.27717779,44462674.97639381,10125653.986307057,22388889.60867257,19206213.369255006,55778090.93630353,11111313.82844116,MZT2B
NAA10,26529160.20977626,69183733.60970412,7285312.356406779,18912134.824715465,187165212.5986229,18912134.824715465,18912134.824715465,NAA10
NAA15,130889708.06144026,46140829.23282191,429219431.40589863,347527947.5631731,309830226.13821346,315002523.45864636,42152559.11300544,NAA15
NAA50,10085671.802703938,10085671.802703938,10085671.802703938,9440756.45500926,9440756.45500926,9440756.45500926,9440756.45500926,NAA50
NACA,828393217.4353485,488214938.4827117,394561672.5525184,937084225.2809328,775932271.2889979,839646704.7431759,759380270.2869228,NACA
NACAD,111912667.54864916,110470053.44027238,128237057.16561678,129710162.52549522,161398826.0074309,181269492.35103932,14811304.362670392,NACAD
NADK2,1493978253.1884472,1271583217.1704085,1186905418.4966085,1479416996.327452,1708484665.7234542,1814375485.5562594,1402495374.481902,NADK2
NAE1,311761578.18099433,508392449.2520664,546576131.6109654,403623121.79505515,174839930.99002838,236599354.86303398,44467002.48503465,NAE1
NAGK,1580574359.612422,1132717825.432734,1319905839.3076336,1163576627.8005939,1191564017.9283047,1507936299.4849448,994326539.9738996,NAGK
NAMPT,1929635737.2166634,1268423918.3096845,1071235863.1844828,1578838720.9241774,1321422726.9446273,1228661710.4632087,1174574873.0108633,NAMPT
NANS,1090409985.4381137,1099663924.8730829,1146092681.2263534,1181539688.0132177,1157830872.3670914,1006289483.4958744,1096863409.9990432,NANS
NAP1L1,3609097766.6659436,4049161867.694506,2898178801.4077234,4247011053.3984046,3487893763.156564,4542434863.138182,4379570871.338577,NAP1L1
NAP1L4,1909037274.9364934,1978914968.423232,2123989240.4615078,1516191632.351596,1738044565.1997912,1260034742.1128097,1372242588.72161,NAP1L4
NAP1L5,19018938.43468093,19018938.43468093,19018938.43468093,105254273.26978624,66804580.07187193,91615080.00596233,79187796.47380394,NAP1L5
NAPA,5136578633.336183,5488536325.500687,6673555434.106075,5773871330.606754,6498052746.316324,5557087217.32251,6587515195.287226,NAPA
NAPB,17061337390.691809,17807663890.199554,20415789913.349598,21378430659.37309,23131037868.300552,20782010264.987026,19189839075.899963,NAPB
NAPEPLD,10655578.21318188,10655578.21318188,116895595.27866772,10440968.014015753,28032356.36832192,59716921.14587861,77248369.08466275,NAPEPLD
NAPG,4845947017.187234,4142535252.4681187,4317039874.9772215,5601028324.381033,4124583790.7116117,4632193084.839522,4519545725.195899,NAPG
NAPRT,17241083.419303086,9276326.770175893,54389625.32605298,16210964.42029114,16210964.42029114,16210964.42029114,16210964.42029114,NAPRT
NARS,3305442051.555905,3374604175.9345737,2132810008.695083,2559468289.30195,2655829905.560196,2388153766.186309,2520517102.4501,NARS
NARS2,22735931.24241509,46769946.67008333,46095488.06471898,9657171.606009584,9657171.606009584,9657171.606009584,9657171.606009584,NARS2
NASP,13122608.129038464,46720611.60977802,38860525.31691665,29626072.18666137,29626072.18666137,29626072.18666137,29626072.18666137,NASP
NAT14,25508063.64665376,9820007.604507016,9820007.604507016,9701147.91063274,9701147.91063274,9701147.91063274,9701147.91063274,NAT14
NAT8L,9899088.67193928,9899088.67193928,9899088.67193928,11416939.879293345,11416939.879293345,11416939.879293345,11416939.879293345,NAT8L
NAV1,212720286.81901327,8804919.862223472,8804919.862223472,124697175.60325104,15083387.28675902,15083387.28675902,15083387.28675902,NAV1
NBAS,75925545.90837197,98918648.73318513,62028809.49091961,37725176.41044977,37725176.41044977,37725176.41044977,37725176.41044977,NBAS
NBEA,1187464631.6984432,703089436.2272757,367916807.493427,1027201985.0686053,661066379.3736701,1385409935.6113362,622622481.0292639,NBEA
NCALD,3851609180.080913,3852282013.0120397,3012647468.274105,2785413092.424107,2597651298.716558,3877270646.7028756,2251531938.4478,NCALD
NCAM1,64446709138.923134,46920367042.63471,44369528301.77635,54212183802.24006,58155445675.40872,54454539068.48921,43284660718.234665,NCAM1
NCAM2,6143486505.364058,6109980795.5264225,4591263238.449855,5836728268.411589,6038181642.941054,5938086008.237819,5451471569.54611,NCAM2
NCAN,8354496879.6325,6219246912.02544,6380847647.485657,6943777241.628679,7670857287.721603,7283715187.605856,6938522309.189924,NCAN
NCBP1,14287412.148848347,6629906.324505758,22103015.151865873,29642127.38539699,29642127.38539699,29642127.38539699,29642127.38539699,NCBP1
NCDN,17438926722.65501,15283723872.872566,15094024893.259472,14509953097.141487,13118212412.535978,12644692755.723558,11409071667.118706,NCDN
NCEH1,1517921855.4429939,1287357215.703583,1405591008.7116086,1355725774.3215847,1550241647.8454926,1581575333.0165825,1496708613.4519944,NCEH1
NCK1,9776206.133688562,9776206.133688562,9776206.133688562,9608941.018281477,9608941.018281477,9608941.018281477,9608941.018281477,NCK1
NCK2,314164170.1966935,260283612.4901853,137181359.34025714,306975575.19759214,368479245.0270291,308304382.14467853,246877614.56272003,NCK2
NCKAP1,8929487078.337774,7828797065.003956,6593452092.707521,8034777110.888356,6907071245.217969,7898798448.636751,6454729838.957731,NCKAP1
NCKIPSD,240313447.1918002,318940183.08869475,344911388.09414536,361151726.53069806,299235843.43301964,421008032.0059399,257023959.6255647,NCKIPSD
NCL,2868839655.55954,2689515810.780181,2768495866.3374925,2708250331.0148163,2452767636.112732,2610426213.377691,1992428504.0416367,NCL
NCLN,86914674.04929264,86539384.75680007,72350486.09134957,56383775.72144906,56383775.72144906,56383775.72144906,56383775.72144906,NCLN
NCOA5,9704602.12660596,9704602.12660596,9704602.12660596,12284262.024125647,12284262.024125647,12284262.024125647,12284262.024125647,NCOA5
NCOA7,146315401.20340744,948439121.0980604,915939451.6538408,856738129.1168681,732757398.8134367,914231941.4376937,660435655.8827399,NCOA7
NCOR1,562190306.9988482,470365450.1306648,523956179.5480454,522152472.95798856,536360153.50668615,726153510.9263643,539437723.7594485,NCOR1
NCS1,70327015.89686988,51967418.36528674,79468403.9869303,275466541.40045726,214353661.5258958,48679873.64598948,48679873.64598948,NCS1
NDEL1,123260239.72747348,113136069.78940593,108083817.67822649,20217417.24457252,20217417.24457252,20217417.24457252,227479470.30011708,NDEL1
NDRG1,8498594376.588478,4587821832.6732435,4094861348.6148477,6301595547.453818,2969762813.236165,3602130219.389318,3647134360.2853007,NDRG1
NDRG2,13260259631.67133,20732705454.714104,20905055674.294292,20836930736.353092,15713616698.008997,16493663395.959152,11242825804.758379,NDRG2
NDRG3,1603170276.5139465,1421971887.3646092,1430044928.679258,2002242987.5066195,1841668894.0931926,1840430111.9427824,1647871562.3548374,NDRG3
NDRG4,5024505901.972302,5331790881.682827,5455427009.035908,4507433840.230493,4530417300.701181,4607347979.693242,4153581158.1225452,NDRG4
NDUFA1,97684106.89611624,112843076.07308272,108774213.45548835,29789051.31090132,29789051.31090132,29789051.31090132,29789051.31090132,NDUFA1
NDUFA10,5691653792.658212,6561203976.008104,7074901175.933486,6957046100.552496,7131575282.883447,5838378478.203543,6216154714.121797,NDUFA10
NDUFA11,1695488334.9295886,1954799623.0058568,1575691605.803794,1878517384.7552075,1773642855.7531965,1881188940.6449087,1452053762.5749106,NDUFA11
NDUFA12,2698963900.3841963,3534262500.0935674,3902078656.7098007,4382116130.305632,4029182102.864621,4090451435.487262,3745518537.9878936,NDUFA12
NDUFA13,3201350893.648973,3531883207.742633,3415947886.528009,4029366503.6517906,4624975967.700646,3480979514.6857657,3377279860.326655,NDUFA13
NDUFA2,2203153003.903771,2530286226.289789,2434957346.3988943,2616049430.7118325,2489764686.814027,2705696444.82152,2754789699.909494,NDUFA2
NDUFA3,1780195104.699967,1764823694.2263894,1971116188.7045548,1221696938.04365,1643009068.0964804,1367830716.5627725,1111539550.3493345,NDUFA3
NDUFA4,6199040456.841995,8281980970.700663,7289179990.1331625,8949142499.09552,7718495997.741328,9098501531.075169,6516444508.083681,NDUFA4
