,Genes,Norm_Symbol,Phosphosite_hu_no
3047,CFL1,CFL1,23
3048,CFL2,CFL2,15
3049,COG1,COG1,16
3050,COG2,COG2,7
3051,COG3,COG3,15
3052,COG4,COG4,16
3053,COG5,COG5,6
3054,COG6,COG6,7
3055,COG7,COG7,7
3056,COG8,COG8,3
3057,COIL,COIL,43
3058,COL11A1,COL11A1,15
3059,COL11A2,COL11A2,14
3060,COL12A1,COL12A1,35
3061,COL13A1,COL13A1,1
3062,COL14A1,COL14A1,20
3063,COL15A1,COL15A1,7
3064,COL16A1,COL16A1,13
3065,COL17A1,COL17A1,47
3066,COL18A1,COL18A1,13
3067,COL19A1,COL19A1,8
3068,COL1A1,COL1A1,17
3069,COL1A2,COL1A2,15
3070,COL20A1,COL20A1,21
3071,COL21A1,COL21A1,1
3072,COL22A1,COL22A1,14
3073,COL23A1,COL23A1,3
3074,COL24A1,COL24A1,15
3075,COL25A1,COL25A1,3
3076,COL27A1,COL27A1,11
3077,COL28A1,COL28A1,3
3078,COL2A1,COL2A1,4
3079,COL4A1,COL4A1,8
3080,COL4A2,COL4A2,12
3081,COL4A3,COL4A3,13
3082,COL4A3BP,COL4A3BP,32
3083,COL4A4,COL4A4,7
3084,COL4A5,COL4A5,3
3085,COL4A6,COL4A6,8
3086,COL5A1,COL5A1,10
3087,COL5A2,COL5A2,16
3088,COL5A3,COL5A3,5
3089,COL6A1,COL6A1,16
3090,COL6A2,COL6A2,13
3091,COL6A3,COL6A3,39
3092,COL6A5,COL6A5,21
3093,COL6A6,COL6A6,19
3094,COL7A1,COL7A1,18
3095,COL8A1,COL8A1,3
3096,COL8A2,COL8A2,1
3097,COL9A1,COL9A1,1
3098,COL9A2,COL9A2,4
3099,COL9A3,COL9A3,3
3100,COLEC10,COLEC10,2
3101,COLEC11,COLEC11,6
3102,COLEC12,COLEC12,10
3103,COLQ,COLQ,5
3104,COMMD1,COMMD1,2
3105,COMMD10,COMMD10,4
3106,COMMD2,COMMD2,1
3107,COMMD3,COMMD3,1
3108,COMMD4,COMMD4,1
3109,COMMD5,COMMD5,1
3110,COMMD7,COMMD7,1
3111,COMMD9,COMMD9,1
3112,COMT,COMT,7
3113,COMTD1,COMTD1,2
3114,RFWD2,COP1,5
3115,COPA,COPA,40
3116,COPB1,COPB1,30
3117,COPB2,COPB2,29
3118,COPE,COPE,17
3119,COPG1,COPG1,33
3120,COPG2,COPG2,17
3121,COPRS,COPRS,7
3122,GPS1,GPS1,20
3123,COPS2,COPS2,8
3124,COPS3,COPS3,13
3125,COPS4,COPS4,4
3126,COPS5,COPS5,7
3127,COPS6,COPS6,10
3128,COPS7A,COPS7A,6
3129,COPS7B,COPS7B,4
3130,COPS8,COPS8,3
3131,COPZ1,COPZ1,6
3132,COPZ2,COPZ2,2
3133,COQ10A,COQ10A,3
3134,COQ10B,COQ10B,3
3135,COQ2,COQ2,1
3136,COQ4,COQ4,1
3137,COQ5,COQ5,4
3138,COQ6,COQ6,4
3139,COQ7,COQ7,2
3140,COQ9,COQ9,10
3141,COBL,COBL,58
3142,CORIN,CORIN,1
3143,CORO1A,CORO1A,16
3144,CORO1B,CORO1B,10
3145,CORO1C,CORO1C,12
3146,CORO2A,CORO2A,13
3147,CORO2B,CORO2B,4
3148,CORO6,CORO6,2
3149,CORO7,CORO7,20
3150,CORT,CORT,1
3151,CTTN,CTTN,96
3152,MAP3K8,MAP3K8,10
3153,COTL1,COTL1,6
3154,PTGS1,PTGS1,3
3155,PTGS2,PTGS2,2
3156,MT-CO1,MT-CO1,6
3157,COX10,COX10,2
3158,COX11,COX11,2
3159,COX15,COX15,1
3160,COX16,COX16,3
3161,COX17,COX17,2
3162,COX18,COX18,3
3163,COX19,COX19,2
3164,MT-CO3,MT-CO3,1
3165,COX4I1,COX4I1,10
3166,EMC8,EMC8,3
3167,COX5A,COX5A,5
3168,COX5B,COX5B,3
3169,COX6B1,COX6B1,4
3170,COX6B2,COX6B2,2
3171,COX6C,COX6C,3
3172,COX7A1,COX7A1,3
3173,COX7A2,COX7A2,3
3174,COX7A2L,COX7A2L,3
3175,COX7B2,COX7B2,1
3176,COX7C,COX7C,4
3177,CP,CP,14
3178,CCP110,CCP110,37
3179,CPA1,CPA1,8
3180,CPA2,CPA2,5
3181,CPA3,CPA3,6
3182,CPA4,CPA4,1
3183,CPA5,CPA5,1
3184,CPA6,CPA6,8
3185,CPAMD8,CPAMD8,14
3186,CPB2,CPB2,3
3187,CPD,CPD,31
3188,CPE,CPE,9
3189,CPEB1,CPEB1,6
3190,CPEB2,CPEB2,22
3191,CPEB3,CPEB3,10
3192,CPEB4,CPEB4,17
3193,CPED1,CPED1,6
3194,PLA2G4A,PLA2G4A,30
3195,CPLX1,CPLX1,2
3196,CPLX2,CPLX2,2
3197,CPM,CPM,1
3198,CPN1,CPN1,3
3199,CPN2,CPN2,2
3200,CPNE1,CPNE1,12
3201,CPNE2,CPNE2,3
3202,CPNE3,CPNE3,15
3203,CPNE4,CPNE4,6
3204,CPNE5,CPNE5,4
3205,CPNE6,CPNE6,1
3206,CPNE7,CPNE7,7
3207,CPNE8,CPNE8,9
3208,CPNE9,CPNE9,1
3209,CPO,CPO,7
3210,CPOX,CPOX,6
3211,CPPED1,CPPED1,5
3212,CPS1,CPS1,67
3213,CPSF1,CPSF1,19
3214,CPSF2,CPSF2,17
3215,CPSF3,CPSF3,12
3216,CPSF4,CPSF4,12
