,Genes,Norm_Symbol,Phosphosite_hu_no
14837,TAS1R2,TAS1R2,3
14838,TAS2R1,TAS2R1,2
14839,TAS2R10,TAS2R10,2
14840,TAS2R13,TAS2R13,1
14841,TAS2R14,TAS2R14,9
14842,TAS2R16,TAS2R16,4
14843,TAS2R3,TAS2R3,2
14844,TAS2R38,TAS2R38,2
14845,TAS2R39,TAS2R39,1
14846,TAS2R40,TAS2R40,1
14847,TAS2R41,TAS2R41,4
14848,TAS2R31,TAS2R31,1
14849,TAS2R45,TAS2R45,1
14850,TAS2R46,TAS2R46,2
14851,TAS2R30,TAS2R30,1
14852,TAS2R20,TAS2R20,1
14853,TAS2R5,TAS2R5,5
14854,TAS2R7,TAS2R7,7
14855,TAS2R8,TAS2R8,5
14856,TASP1,TASP1,5
14857,TAT,TAT,4
14858,HTATSF1,HTATSF1,60
14859,TATDN1,TATDN1,2
14860,TATDN2,TATDN2,23
14861,TATDN3,TATDN3,2
14862,MAPT,MAPT,198
14863,SLC6A6,SLC6A6,4
14864,TAX1BP1,TAX1BP1,25
14865,TAX1BP3,TAX1BP3,8
14866,WWTR1,WWTR1,28
14867,TBC1D1,TBC1D1,35
14868,TBC1D10A,TBC1D10A,28
14869,TBC1D10B,TBC1D10B,39
14870,TBC1D10C,TBC1D10C,8
14871,TBC1D12,TBC1D12,8
14872,TBC1D13,TBC1D13,13
14873,TBC1D14,TBC1D14,15
14874,TBC1D15,TBC1D15,44
14875,TBC1D16,TBC1D16,21
14876,TBC1D17,TBC1D17,20
14877,TBC1D19,TBC1D19,12
14878,TBC1D2,TBC1D2,17
14879,TBC1D22A,TBC1D22A,19
14880,TBC1D22B,TBC1D22B,16
14881,TBC1D23,TBC1D23,22
14882,TBC1D24,TBC1D24,8
14883,TBC1D25,TBC1D25,10
14884,TBC1D26,TBC1D26,1
14885,TBC1D28,TBC1D28,3
14886,TBC1D29,TBC1D29,6
14887,TBC1D2B,TBC1D2B,34
14888,TBC1D3,TBC1D3,4
14889,TBC1D30,TBC1D30,34
14890,TBC1D3B,TBC1D3B,3
14891,TBC1D3C,TBC1D3C,3
14892,TBC1D3F,TBC1D3F,4
14893,TBC1D3G,TBC1D3G,3
14894,TBC1D3H,TBC1D3H,3
14895,TBC1D5,TBC1D5,51
14896,TBC1D7,TBC1D7,5
14897,TBC1D8,TBC1D8,11
14898,TBC1D8B,TBC1D8B,19
14899,TBC1D9,TBC1D9,12
14900,TBC1D9B,TBC1D9B,49
14901,TBCA,TBCA,5
14902,TBCB,TBCB,16
14903,TBCC,TBCC,8
14904,TBCCD1,TBCCD1,10
14905,TBCD,TBCD,10
14906,TBCE,TBCE,13
14907,TBCK,TBCK,7
14908,TBK1,TBK1,23
14909,TBKBP1,TBKBP1,24
14910,TBL1X,TBL1X,13
14911,TBL1XR1,TBL1XR1,6
14912,TBL1Y,TBL1Y,2
14913,TBL2,TBL2,11
14914,TBL3,TBL3,7
14915,TAF8,TAF8,14
14916,TBP,TBP,5
14917,TBPL1,TBPL1,1
14918,TBPL2,TBPL2,3
14919,TBR1,TBR1,20
14920,TBRG1,TBRG1,6
14921,TBRG4,TBRG4,10
14922,TBX1,TBX1,5
14923,TBX10,TBX10,7
14924,TBX15,TBX15,9
14925,TBX18,TBX18,13
14926,TBX19,TBX19,2
14927,TBX2,TBX2,27
14928,TBX20,TBX20,2
14929,TBX21,TBX21,12
14930,TBX22,TBX22,10
14931,TBX3,TBX3,29
14932,TBX4,TBX4,3
14933,TBX5,TBX5,12
14934,TBXAS1,TBXAS1,1
14935,LOC389602,LOC389602,1
14936,TCAIM,TCAIM,1
14937,TCEA2,TCEA2,12
14938,TCEA3,TCEA3,10
14939,TCEAL2,TCEAL2,2
14940,TCEAL3,TCEAL3,9
14941,TCEAL4,TCEAL4,11
14942,TCEAL5,TCEAL5,4
14943,TCEAL6,TCEAL6,4
14944,TCEANC,TCEANC,3
14945,TCEANC2,TCEANC2,7
14946,ELOC,ELOC,4
14947,ELOB,ELOB,5
14948,ELOA,ELOA,33
14949,ELOA2,ELOA2,4
14950,ELOA3,ELOA3,4
14951,ELOA3B,ELOA3B,4
14952,ELOA3D,ELOA3D,3
14953,TCERG1,TCERG1,21
14954,TCERG1L,TCERG1L,4
14955,TCF12,TCF12,66
14956,TCF15,TCF15,1
14957,TCF19,TCF19,9
14958,HNF1B,HNF1B,10
14959,TCF20,TCF20,103
14960,TCF21,TCF21,2
14961,TCF23,TCF23,4
14962,TCF24,TCF24,1
14963,TCF25,TCF25,20
14964,TCF7L1,TCF7L1,12
14965,TCF4,TCF4,20
14966,TCF7,TCF7,12
14967,TCF7L2,TCF7L2,18
14968,ZEB1,ZEB1,54
14969,GCFC2,GCFC2,35
14970,TCFL5,TCFL5,6
14971,TCHHL1,TCHHL1,8
14972,TCHP,TCHP,2
14973,TCIRG1,TCIRG1,4
14974,TCL1A,TCL1A,3
14975,TCN1,TCN1,3
14976,TCP10,TCP10,1
14977,TCP10L,TCP10L,1
14978,TCP10L2,TCP10L2,1
14979,TCP11,TCP11,4
14980,TCP11L1,TCP11L1,12
14981,TCP11L2,TCP11L2,6
14982,TRGV3,TRGV3,1
14983,TCTE1,TCTE1,1
14984,TCTE3,TCTE3,2
14985,TCTEX1D1,TCTEX1D1,5
14986,TCTEX1D4,TCTEX1D4,2
14987,TCTN1,TCTN1,5
14988,TCTN2,TCTN2,1
14989,TCTN3,TCTN3,1
14990,RCC2,RCC2,22
14991,TDG,TDG,4
14992,TDO2,TDO2,6
14993,TARDBP,TARDBP,34
14994,TDP1,TDP1,13
14995,TDRD1,TDRD1,10
14996,TDRD10,TDRD10,1
14997,TDRD12,TDRD12,6
14998,TDRD15,TDRD15,2
14999,TDRD3,TDRD3,42
15000,TDRD5,TDRD5,14
15001,TDRD6,TDRD6,22
15002,TDRD7,TDRD7,17
15003,TDRD9,TDRD9,9
15004,TDRKH,TDRKH,10
15005,TDRP,TDRP,4
15006,TEAD1,TEAD1,10
15007,TEAD2,TEAD2,7
15008,TEAD3,TEAD3,13
15009,TEAD4,TEAD4,10
15010,PTGES3,PTGES3,17
15011,TEC,TEC,20
15012,TECPR1,TECPR1,17
15013,TECPR2,TECPR2,26
15014,TECRL,TECRL,1
15015,TECTA,TECTA,8
15016,TEDC1,TEDC1,2
15017,TEDC2,TEDC2,6
15018,TEF,TEF,4
15019,TEFM,TEFM,3
15020,TEKT1,TEKT1,2
15021,TEKT2,TEKT2,1
15022,TEKT3,TEKT3,6
15023,TEKT4,TEKT4,3
15024,TEKT5,TEKT5,3
15025,ETV6,ETV6,37
15026,TCAP,TCAP,6
15027,TELO2,TELO2,16
15028,TNS1,TNS1,188
15029,TNS2,TNS2,77
15030,TNS3,TNS3,117
15031,TEP1,TEP1,16
15032,TEPP,TEPP,3
15033,TERB2,TERB2,1
15034,TERF2IP,TERF2IP,22
15035,TERT,TERT,16
15036,TES,TES,24
15037,TESC,TESC,2
15038,TESK1,TESK1,10
15039,TESK2,TESK2,9
15040,TESPA1,TESPA1,17
15041,PRSS41,PRSS41,1
15042,TET1,TET1,21
15043,TET2,TET2,33
15044,TET3,TET3,25
15045,MFSD10,MFSD10,3
15046,TEX10,TEX10,9
15047,TEX101,TEX101,1
15048,TEX11,TEX11,5
15049,TEX12,TEX12,2
15050,TEX13A,TEX13A,4
15051,TEX13B,TEX13B,3
15052,TEX13C,TEX13C,29
15053,TEX14,TEX14,17
15054,TEX15,TEX15,31
15055,TEX22,TEX22,1
15056,TEX26,TEX26,6
15057,TEX264,TEX264,11
15058,TEX28,TEX28,8
15059,TEX36,TEX36,2
15060,TEX38,TEX38,2
15061,TEX40,TEX40,3
15062,TEX44,TEX44,6
15063,TEX55,TEX55,2
15064,TEX9,TEX9,2
15065,TF,TF,34
15066,TFAM,TFAM,13
15067,TFB1M,TFB1M,9
15068,TFB2M,TFB2M,1
15069,TFCP2,TFCP2,10
15070,TFCP2L1,TFCP2L1,5
15071,TFDP1,TFDP1,5
15072,TFDP2,TFDP2,8
15073,TFDP3,TFDP3,5
15074,TFE3,TFE3,22
15075,TFEB,TFEB,28
15076,TFEC,TFEC,3
15077,TFF2,TFF2,1
15078,TFG,TFG,30
15079,BRF2,BRF2,10
15080,TCEA1,TCEA1,24
15081,TFIP11,TFIP11,31
15082,BDP1,BDP1,60
15083,TFPI,TFPI,3
15084,TFPI2,TFPI2,3
15085,TFPT,TFPT,12
15086,TFRC,TFRC,34
15087,TFR2,TFR2,4
15088,TG,TG,18
15089,TGDS,TGDS,3
15090,TGFB1,TGFB1,1
15091,TGFB2,TGFB2,4
15092,TGFB3,TGFB3,1
15093,TGFBR1,TGFBR1,12
15094,TGFBR2,TGFBR2,17
15095,TGFBR3,TGFBR3,3
15096,TGFBR3L,TGFBR3L,5
15097,TGFBRAP1,TGFBRAP1,16
15098,TGIF1,TGIF1,10
15099,TGIF2,TGIF2,9
15100,TGIF2LX,TGIF2LX,3
15101,TGIF2LY,TGIF2LY,2
15102,TGM1,TGM1,18
15103,TGM2,TGM2,20
15104,TGM3,TGM3,13
15105,TGM4,TGM4,8
15106,TGM5,TGM5,7
15107,TGM6,TGM6,9
15108,TGM7,TGM7,6
15109,TGOLN2,TGOLN2,32
15110,TH,TH,18
15111,THADA,THADA,25
15112,THAP1,THAP1,2
15113,THAP10,THAP10,4
15114,THAP11,THAP11,3
15115,THAP2,THAP2,2
15116,THAP3,THAP3,2
15117,THAP4,THAP4,16
15118,THAP5,THAP5,2
15119,THAP7,THAP7,7
15120,THAP8,THAP8,1
15121,THAP9,THAP9,2
15122,THBS1,THBS1,14
15123,THBS2,THBS2,12
15124,THBS3,THBS3,6
15125,THBS4,THBS4,3
15126,THEG,THEG,7
15127,THEGL,THEGL,4
15128,ACOT13,ACOT13,6
15129,THEM5,THEM5,5
15130,THEM6,THEM6,7
15131,THEMIS,THEMIS,13
15132,THEMIS2,THEMIS2,12
15133,ERI1,ERI1,6
15134,TCHH,TCHH,6
15135,THNSL1,THNSL1,2
15136,THOC1,THOC1,18
15137,THOC2,THOC2,53
15138,THOC3,THOC3,6
15139,ALYREF,ALYREF,17
15140,THOC6,THOC6,6
15141,THOC7,THOC7,5
15142,THOP1,THOP1,15
15143,THPO,THPO,6
15144,MED13L,MED13L,51
15145,THSD1,THSD1,14
15146,ISM2,ISM2,6
15147,THSD4,THSD4,8
15148,THSD7A,THSD7A,11
15149,THSD7B,THSD7B,23
15150,THTPA,THTPA,4
15151,THUMPD1,THUMPD1,14
15152,THUMPD2,THUMPD2,1
15153,THUMPD3,THUMPD3,10
15154,THY1,THY1,4
15155,THYN1,THYN1,10
15156,TIA1,TIA1,11
15157,TIAL1,TIAL1,15
15158,TIAM1,TIAM1,56
15159,TIAM2,TIAM2,28
15160,TICAM1,TICAM1,12
15161,TICAM2,TICAM2,3
15162,TMED7-TICAM2,TMED7-TICAM2,2
15163,TICRR,TICRR,118
15164,TIE1,TIE1,18
15165,TEK,TEK,15
15166,KLF11,KLF11,12
15167,RRN3,RRN3,15
15168,TRIM28,TRIM28,66
15169,TRIM33,TRIM33,37
15170,TIFA,TIFA,4
15171,TIGAR,TIGAR,8
15172,TIGD1,TIGD1,7
15173,TIGD2,TIGD2,3
15174,TIGD4,TIGD4,7
15175,TIGD5,TIGD5,4
15176,TIGD6,TIGD6,4
15177,TIGD7,TIGD7,7
15178,TIGIT,TIGIT,5
15179,HAVCR1,HAVCR1,6
15180,HAVCR2,HAVCR2,8
15181,TIMD4,TIMD4,5
15182,TIMELESS,TIMELESS,22
15183,TIMM10,TIMM10,2
15184,TIMM13,TIMM13,2
15185,TIMM17A,TIMM17A,2
15186,TIMM17B,TIMM17B,1
15187,TIMM21,TIMM21,8
15188,TIMM22,TIMM22,1
15189,TIMM23,TIMM23,3
15190,TIMM23B,TIMM23B,3
15191,TIMM44,TIMM44,10
15192,TIMM50,TIMM50,9
15193,TIMM8A,TIMM8A,5
15194,TIMM9,TIMM9,1
15195,TIMMDC1,TIMMDC1,6
15196,TIMP2,TIMP2,4
15197,TIMP3,TIMP3,4
15198,TIMP4,TIMP4,2
15199,TINAG,TINAG,2
15200,TINAGL1,TINAGL1,1
15201,TINF2,TINF2,5
15202,NSA2,NSA2,3
15203,ZNF787,ZNF787,16
15204,KAT5,KAT5,21
15205,TIPARP,TIPARP,3
15206,TIPIN,TIPIN,11
15207,TIPRL,TIPRL,5
15208,TIRAP,TIRAP,9
15209,TTN,TTN,999
15210,TJAP1,TJAP1,27
15211,TK1,TK1,11
15212,TK2,TK2,7
15213,SH3PXD2A,SH3PXD2A,60
15214,TKT,TKT,31
15215,TKTL1,TKTL1,4
15216,TKTL2,TKTL2,5
15217,TLCD1,TLCD1,1
15218,TLCD2,TLCD2,2
15219,TLDC1,MEAK7,7
15220,TLDC2,TLDC2,2
15221,TLE1,TLE1,19
15222,TLE2,TLE2,14
15223,TLE3,TLE3,49
15224,TLE4,TLE4,32
15225,TLE6,TLE6,4
15226,TLK1,TLK1,43
15227,TLK2,TLK2,40
15228,TLL1,TLL1,4
15229,TLL2,TLL2,9
15230,TLR1,TLR1,12
15231,TLR10,TLR10,8
15232,TLR2,TLR2,10
15233,TLR3,TLR3,10
15234,TLR4,TLR4,8
15235,TLR5,TLR5,4
15236,TLR6,TLR6,9
15237,TLR7,TLR7,8
15238,TLR8,TLR8,10
15239,TLR9,TLR9,9
15240,TLX1,TLX1,3
15241,TLX2,TLX2,3
15242,TLX3,TLX3,5
15243,TM2D3,TM2D3,3
15244,TM4SF18,TM4SF18,1
15245,TM4SF19,TM4SF19,1
15246,TM7SF2,TM7SF2,3
15247,TM7SF3,TM7SF3,5
15248,DCSTAMP,DCSTAMP,3
15249,TM9SF1,TM9SF1,3
15250,TM9SF2,TM9SF2,5
15251,TM9SF4,TM9SF4,7
15252,TMA16,TMA16,6
15253,TMBIM1,TMBIM1,6
15254,TMBIM4,TMBIM4,2
15255,TMC2,TMC2,15
15256,TMC3,TMC3,9
15257,TMC4,TMC4,6
15258,TMC5,TMC5,37
15259,TMC6,TMC6,11
15260,TMC7,TMC7,11
15261,TMC8,TMC8,18
15262,TMCC1,TMCC1,19
15263,TMCC2,TMCC2,12
15264,TMCC3,TMCC3,15
15265,TMCO1,TMCO1,6
15266,TMCO2,TMCO2,4
15267,TMCO3,TMCO3,3
15268,TMCO4,TMCO4,6
15269,TMCO5A,TMCO5A,1
15270,TMCO6,TMCO6,1
15271,TMED1,TMED1,3
15272,TMED10,TMED10,6
15273,TMED2,TMED2,2
15274,TMED3,TMED3,6
15275,TMED4,TMED4,4
15276,TMED5,TMED5,3
15277,TMED6,TMED6,2
15278,TMED7,TMED7,3
15279,TMED8,TMED8,18
15280,TMED9,TMED9,4
15281,TMEFF1,TMEFF1,6
15282,TMEFF2,TMEFF2,8
15283,TMEM100,TMEM100,3
15284,TMEM102,TMEM102,8
15285,ELP6,ELP6,3
15286,TMEM104,TMEM104,10
15287,TMEM106A,TMEM106A,1
15288,TMEM106B,TMEM106B,10
15289,TMEM106C,TMEM106C,1
15290,TMEM108,TMEM108,4
15291,TMEM109,TMEM109,2
15292,TMEM11,TMEM11,8
15293,STIMATE,STIMATE,1
15294,EMC3,EMC3,3
15295,TMEM114,TMEM114,2
15296,TMEM115,TMEM115,9
15297,TMEM116,TMEM116,1
15298,TMEM117,TMEM117,2
15299,TMEM119,TMEM119,9
15300,TMEM120A,TMEM120A,2
15301,TMEM120B,TMEM120B,1
15302,TMEM121,TMEM121,3
15303,TMEM123,TMEM123,5
15304,TMEM125,TMEM125,1
15305,TMEM126A,TMEM126A,2
15306,TMEM126B,TMEM126B,3
15307,TMEM127,TMEM127,3
15308,TMEM129,TMEM129,3
15309,TMEM130,TMEM130,4
15310,TMEM131,TMEM131,52
15311,TMEM131L,TMEM131L,32
15312,TMEM132A,TMEM132A,6
15313,TMEM132B,TMEM132B,8
15314,TMEM132C,TMEM132C,3
15315,TMEM132D,TMEM132D,14
15316,TMEM132E,TMEM132E,5
15317,TMEM134,TMEM134,4
15318,TMEM135,TMEM135,7
15319,TMEM138,TMEM138,1
15320,TMEM139,TMEM139,3
15321,ORAI2,ORAI2,5
15322,ORAI3,ORAI3,4
15323,TMEM143,TMEM143,1
15324,TMEM144,TMEM144,2
15325,TMEM145,TMEM145,2
15326,CATSPERD,CATSPERD,1
15327,IGFLR1,IGFLR1,2
15328,TMEM14A,TMEM14A,2
15329,TMEM14B,TMEM14B,2
15330,TMEM14DP,TMEM14DP,1
15331,TMEM150A,TMEM150A,2
15332,TMEM150C,TMEM150C,2
15333,TMEM151A,TMEM151A,10
15334,TMEM151B,TMEM151B,11
15335,TMEM154,TMEM154,11
15336,TMEM156,TMEM156,4
15337,TMEM159,TMEM159,3
15338,TMEM160,TMEM160,2
15339,TMEM161A,TMEM161A,7
15340,TMEM161B,TMEM161B,3
15341,TMEM163,TMEM163,7
15342,TMEM164,TMEM164,5
15343,TMEM165,TMEM165,4
15344,EVA1A,EVA1A,5
15345,TMEM168,TMEM168,16
15346,TMEM169,TMEM169,2
15347,TMEM17,TMEM17,2
15348,TMEM170A,TMEM170A,5
15349,TMEM170B,TMEM170B,4
15350,TMEM171,TMEM171,3
15351,TMEM175,TMEM175,2
15352,TMEM176A,TMEM176A,2
15353,TMEM176B,TMEM176B,5
15354,TMEM177,TMEM177,1
15355,TMEM178B,TMEM178B,1
15356,TMEM179,TMEM179,1
15357,TMEM179B,TMEM179B,4
15358,MFSD13A,MFSD13A,2
15359,TMEM181,TMEM181,11
15360,TMEM183A,TMEM183A,2
15361,TMEM183B,TMEM183B,3
15362,TMEM184A,TMEM184A,3
15363,TMEM184B,TMEM184B,12
15364,TMEM184C,TMEM184C,5
15365,TMEM185A,TMEM185A,2
15366,TMEM185B,TMEM185B,7
15367,TMEM186,TMEM186,5
15368,CNEP1R1,CNEP1R1,1
15369,TMEM189,TMEM189,2
15370,TMEM19,TMEM19,1
15371,TMEM190,TMEM190,1
15372,TMEM191B,TMEM191B,1
15373,TMEM191C,TMEM191C,1
15374,TMEM192,TMEM192,15
15375,NEMP1,NEMP1,9
15376,NEMP2,NEMP2,4
15377,TMEM196,TMEM196,2
15378,TMEM199,TMEM199,3
15379,TMEM2,TMEM2,23
15380,SLC35G1,SLC35G1,1
15381,TMEM200A,TMEM200A,16
15382,TMEM200B,TMEM200B,8
15383,TMEM201,TMEM201,20
15384,TMEM202,TMEM202,2
15385,TMEM204,TMEM204,3
15386,TMEM206,TMEM206,5
15387,TMEM209,TMEM209,28
15388,TMEM214,TMEM214,6
15389,TMEM215,TMEM215,2
15390,TMEM219,TMEM219,1
15391,SLC35G2,SLC35G2,7
15392,TMEM222,TMEM222,2
15393,TMEM223,TMEM223,1
15394,TMEM225,TMEM225,2
15395,TMEM229A,TMEM229A,1
15396,SGMS1,SGMS1,7
15397,TMEM232,TMEM232,4
15398,TMEM233,TMEM233,4
15399,TMEM234,TMEM234,3
15400,TMEM238,TMEM238,4
15401,TMEM239,TMEM239,1
15402,C2CD2L,C2CD2L,36
15403,TMEM240,TMEM240,2
15404,TMEM241,TMEM241,5
15405,TMEM242,TMEM242,4
15406,TMEM245,TMEM245,21
15407,TMEM246,TMEM246,4
15408,TMEM247,TMEM247,1
15409,TMEM248,TMEM248,2
15410,TMEM25,TMEM25,2
15411,TMEM252,TMEM252,2
15412,TMEM254,TMEM254,1
15413,TMEM256,TMEM256,4
15414,TMEM258,TMEM258,1
15415,TMEM259,TMEM259,1
15416,TMEM26,TMEM26,7
15417,TMEM260,TMEM260,7
15418,TMEM261,TMEM261,1
15419,TMEM263,TMEM263,6
15420,TMEM266,TMEM266,5
15421,TMEM27,TMEM27,2
15422,TMEM30A,TMEM30A,5
15423,TMEM30B,TMEM30B,5
15424,TMEM31,TMEM31,1
15425,MMGT1,MMGT1,6
15426,TMEM33,TMEM33,3
15427,TMEM35A,TMEM35A,3
15428,TMEM38A,TMEM38A,2
15429,TMEM38B,TMEM38B,6
15430,TMEM39A,TMEM39A,7
15431,TMEM39B,TMEM39B,13
15432,CNPY2,CNPY2,11
15433,TMEM40,TMEM40,21
15434,TMEM41A,TMEM41A,5
15435,TMEM41B,TMEM41B,5
15436,TMEM42,TMEM42,4
15437,TMEM43,TMEM43,10
15438,TMEM44,TMEM44,7
15439,TMEM45A,TMEM45A,3
15440,TMEM45B,TMEM45B,4
15441,TMEM47,TMEM47,2
15442,NDC1,NDC1,21
15443,TMEM5,TMEM5,7
15444,TMEM50A,TMEM50A,3
15445,TMEM51,TMEM51,19
15446,TMEM52B,TMEM52B,1
15447,TMEM53,TMEM53,2
15448,TMEM54,TMEM54,3
15449,PIP4P2,PIP4P2,10
15450,TMEM55B,PIP4P1,8
15451,TMEM56,TMEM56,1
15452,MACO1,MACO1,20
15453,TMEM59,TMEM59,8
15454,TMEM59L,TMEM59L,2
15455,TMEM62,TMEM62,1
15456,TMEM63A,TMEM63A,12
15457,TMEM63B,TMEM63B,12
15458,TMEM63C,TMEM63C,10
15459,TMEM64,TMEM64,3
15460,SARAF,SARAF,8
15461,TMEM67,TMEM67,4
15462,TMEM68,TMEM68,1
15463,TMEM69,TMEM69,6
15464,TMEM70,TMEM70,8
15465,TMEM71,TMEM71,1
15466,TMEM72,TMEM72,1
15467,TMEM74B,TMEM74B,7
15468,DRAM2,DRAM2,1
15469,TMEM79,TMEM79,5
15470,TMEM8A,TMEM8A,7
15471,EMC4,EMC4,4
15472,TMEM87A,TMEM87A,13
15473,TMEM87B,TMEM87B,11
15474,TMEM88,TMEM88,1
15475,TMEM88B,TMEM88B,2
15476,TMEM8B,TMEM8B,2
15477,TMEM8C,MYMK,5
15478,TMEM9,TMEM9,2
15479,SYNDIG1,SYNDIG1,11
15480,TMEM91,TMEM91,1
15481,EMC6,EMC6,1
15482,TMEM94,TMEM94,25
15483,TMEM95,TMEM95,2
15484,TMEM97,TMEM97,2
15485,TMEM9B,TMEM9B,8
15486,PMEPA1,PMEPA1,10
15487,TMF1,TMF1,54
15488,TMIE,TMIE,2
15489,TMIGD1,TMIGD1,2
15490,TMIGD3,TMIGD3,1
15491,TMLHE,TMLHE,2
15492,TMOD1,TMOD1,12
15493,TMOD2,TMOD2,3
15494,TMOD3,TMOD3,10
15495,TMOD4,TMOD4,7
15496,TMPO,TMPO,107
15497,TMPPE,TMPPE,1
15498,TMPRSS11A,TMPRSS11A,3
15499,TMPRSS11E,TMPRSS11E,6
15500,TMPRSS11F,TMPRSS11F,6
15501,TMPRSS12,TMPRSS12,10
15502,TMPRSS13,TMPRSS13,17
15503,TMPRSS2,TMPRSS2,6
15504,TMPRSS4,TMPRSS4,1
15505,TMPRSS6,TMPRSS6,5
15506,TMPRSS7,TMPRSS7,11
15507,TMPRSS9,TMPRSS9,11
15508,TMSB10,TMSB10,8
15509,TMSB15A,TMSB15A,3
15510,TMSB15B,TMSB15B,1
15511,TMSB4X,TMSB4X,7
15512,TMSB4Y,TMSB4Y,3
15513,TMTC1,TMTC1,8
15514,TMTC2,TMTC2,2
15515,TMTC3,TMTC3,8
15516,TMTC4,TMTC4,10
15517,TMUB1,TMUB1,8
15518,TMUB2,TMUB2,3
15519,TNC,TNC,38
15520,TNF,TNF,2
15521,TNFRSF1A,TNFRSF1A,11
15522,TNFRSF1B,TNFRSF1B,3
15523,TNFAIP1,TNFAIP1,9
15524,TNFAIP2,TNFAIP2,11
15525,TNFAIP3,TNFAIP3,33
15526,TNFAIP6,TNFAIP6,5
15527,TNFAIP8,TNFAIP8,2
15528,TNFAIP8L2,TNFAIP8L2,3
15529,TNFAIP8L3,TNFAIP8L3,13
15530,TNFSF9,TNFSF9,4
15531,TNFRSF11A,TNFRSF11A,2
15532,TNFRSF11B,TNFRSF11B,4
15533,TNFRSF13B,TNFRSF13B,1
15534,TNFRSF14,TNFRSF14,3
15535,TNFRSF17,TNFRSF17,2
15536,TNFRSF18,TNFRSF18,1
15537,TNFRSF19,TNFRSF19,9
15538,TNFRSF25,TNFRSF25,2
15539,TNFRSF4,TNFRSF4,1
15540,TNFRSF8,TNFRSF8,12
15541,TNFSF11,TNFSF11,1
15542,TNFSF12,TNFSF12,2
15543,TNFSF13,TNFSF13,6
15544,TNFSF14,TNFSF14,6
15545,TNFSF4,TNFSF4,1
15546,TNFSF8,TNFSF8,2
15547,TNIK,TNIK,65
15548,TNIP1,TNIP1,22
15549,TNIP2,TNIP2,9
15550,TNIP3,TNIP3,2
15551,TNK1,TNK1,34
15552,TNKS,TNKS,21
15553,TNKS1BP1,TNKS1BP1,173
15554,TNKS2,TNKS2,6
15555,TNMD,TNMD,2
15556,TNN,TNN,22
15557,TNNC1,TNNC1,2
15558,TNNC2,TNNC2,2
15559,TNNI1,TNNI1,8
15560,TNNI2,TNNI2,5
15561,TNNI3,TNNI3,20
15562,TNNI3K,TNNI3K,13
15563,TNNT1,TNNT1,4
15564,TNNT2,TNNT2,9
15565,TNNT3,TNNT3,13
15566,TNPO2,TNPO2,6
15567,TNR,TNR,5
15568,GIGYF2,GIGYF2,54
15569,TNRC18,TNRC18,117
15570,CELF3,CELF3,6
15571,CNPY3,CNPY3,14
15572,TNRC6A,TNRC6A,70
15573,TNRC6B,TNRC6B,76
15574,TNRC6C,TNRC6C,33
15575,TNS4,TNS4,31
15576,TNXB,TNXB,51
15577,TOB1,TOB1,7
15578,TOB2,TOB2,8
15579,TOE1,TOE1,8
15580,TOLLIP,TOLLIP,9
15581,TOM1,TOM1,22
15582,TOM1L2,TOM1L2,18
15583,TOMM20,TOMM20,3
15584,TOMM22,TOMM22,4
15585,TOMM34,TOMM34,18
15586,TOMM40,TOMM40,11
15587,TOMM40L,TOMM40L,2
15588,TOMM7,TOMM7,1
15589,TOMM70,TOMM70,18
15590,TOP1.00,TOP1.00,27
15591,TOP1MT,TOP1MT,13
15592,TOP2A,TOP2A,86
15593,TOP2B,TOP2B,89
15594,TOP3A,TOP3A,16
15595,TOP3B,TOP3B,4
15596,TOPAZ1,TOPAZ1,17
15597,TOPBP1,TOPBP1,52
15598,TOPORS,TOPORS,47
15599,TOR1AIP1,TOR1AIP1,52
15600,TOR1B,TOR1B,6
15601,TOR2A,TOR2A,3
15602,TOR3A,TOR3A,5
15603,TOR4A,TOR4A,10
15604,CRTC1,CRTC1,25
15605,CRTC2,CRTC2,56
15606,CRTC3,CRTC3,40
15607,TOX,TOX,11
15608,TOX3,TOX3,2
15609,TOX4,TOX4,20
15610,TNP1,TNP1,1
15611,TNP2,TNP2,1
15612,TP53I11,TP53I11,7
15613,TP53I13,TP53I13,5
15614,TP53I3,TP53I3,5
15615,TP53INP1,TP53INP1,2
15616,TP53INP2,TP53INP2,3
15617,TP53TG3,TP53TG3,1
15618,TP53TG5,TP53TG5,4
15619,TPA_INF,TPA_INF,3
15620,TPBG,TPBG,4
15621,TPCN1,TPCN1,13
15622,TPCN2,TPCN2,6
15623,TPD52,TPD52,33
15624,TPD52L1,TPD52L1,19
15625,TPD52L2,TPD52L2,55
15626,TPD52L3,TPD52L3,2
15627,TPGS2,TPGS2,5
15628,TPH1,TPH1,7
15629,TPH2,TPH2,6
15630,TPI1,TPI1,23
15631,TPK1,TPK1,1
15632,TPM1,TPM1,45
15633,TPM2,TPM2,25
15634,TPM3,TPM3,39
15635,TPM4,TPM4,14
15636,TPMT,TPMT,8
15637,TPMTP1,TPMTP1,1
15638,TPO,TPO,6
15639,TPP1,TPP1,4
15640,TPP2,TPP2,20
15641,TPPP,TPPP,13
15642,TPPP2,TPPP2,4
15643,TPR,TPR,111
15644,TPRKB,TPRKB,3
15645,TPRN,TPRN,23
15646,TPRX1,TPRX1,1
15647,TPRXL,TPRXL,21
15648,TPSAB1,TPSAB1,4
15649,TPSB2,TPSB2,4
15650,TPSD1,TPSD1,2
