Genes,PhosNo,Norm_Symbol
ARHGEF17,87,ARHGEF17
INPP4A,7,INPP4A
ZIM3,1,ZIM3
TGM7,3,TGM7
MS4A4E,1,MS4A4E
BBC3,5,BBC3
NOX5,1,NOX5
SPRR4,1,SPRR4
FCRL4,4,FCRL4
RBM14,55,RBM14
SCGB3A2,2,SCGB3A2
TECTB,2,TECTB
ERMAP,5,ERMAP
RCHY1,4,RCHY1
ZNF385A,9,ZNF385A
ADCY10,13,ADCY10
TRERF1,42,TRERF1
TSGA13,8,TSGA13
GBP5,5,GBP5
GBP4,3,GBP4
SORCS2,9,SORCS2
SIGLEC12,3,SIGLEC12
PPP1R2P1,4,PPP1R2P1
ZNF317,10,ZNF317
KLHL5,1,KLHL5
KCNC2,3,KCNC2
GAFA1,2,GAFA1
UHRF2,10,UHRF2
NEDD4L,49,NEDD4L
QKI,12,QKI
SYNGAP1,17,SYNGAP1
PNMA5,4,PNMA5
LENG8,9,LENG8
FAM193B,7,FAM193B
CCDC85A,15,CCDC85A
SLITRK1,5,SLITRK1
PLEKHG4B,8,PLEKHG4B
PSMG3-AS1,1,PSMG3-AS1
FMNL2,22,FMNL2
NEK1,49,NEK1
PUS7,26,PUS7
FAM111A,14,FAM111A
CSMD1,7,CSMD1
LMTK3,5,LMTK3
TRAPPC9,12,TRAPPC9
PLIN4,37,PLIN4
BTBD9,11,BTBD9
TRNT1,7,TRNT1
SMG1,54,SMG1
ASB2,1,ASB2
CDK15,6,CDK15
ALS2,29,ALS2
TMEM237,17,TMEM237
ALKBH3,2,ALKBH3
KIF20B,47,KIF20B
SLC4A9,3,SLC4A9
GSDMA,3,GSDMA
DLC1,48,DLC1
PPP1R10,22,PPP1R10
DEPDC7,8,DEPDC7
SLC38A2,15,SLC38A2
FYTTD1,14,FYTTD1
SLC2A13,11,SLC2A13
ATAD5,74,ATAD5
LRRC37B,1,LRRC37B
TEFM,1,TEFM
RAB3IP,22,RAB3IP
GCNA,1,GCNA
MTMR9,5,MTMR9
PRAM1,23,PRAM1
VPS35,20,VPS35
ALPK1,7,ALPK1
PURB,14,PURB
TSPAN32,2,TSPAN32
ARX,4,ARX
TRPM7,68,TRPM7
PHF12,33,PHF12
PCDH15,6,PCDH15
ACCS,2,ACCS
XPO6,17,XPO6
HHIP,4,HHIP
HIST1H2AA,4,HIST1H2AA
PANX3,1,PANX3
MAGI1,32,MAGI1
SPAG5,58,SPAG5
OR2M2,4,OR2M2
OR2V2,8,OR2V2
OR2A14,3,OR2A14
OR6C1,1,OR6C1
OR52B2,2,OR52B2
OR52E6,1,OR52E6
PANX1,5,PANX1
FCRL5,4,FCRL5
NACC1,19,NACC1
ZNF300,8,ZNF300
SNX18,9,SNX18
PASK,30,PASK
F2RL3,7,F2RL3
TAAR1,4,TAAR1
TNFRSF13C,1,TNFRSF13C
FERD3L,1,FERD3L
CIC,101,CIC
BBS4,2,BBS4
UIMC1,65,UIMC1
SIGLEC11,2,SIGLEC11
VPS13A,36,VPS13A
SPRR2F,2,SPRR2F
SLC26A8,3,SLC26A8
MED15,8,MED15
GAL3ST4,1,GAL3ST4
GFM1,10,GFM1
ERGIC2,5,ERGIC2
MCCC1,5,MCCC1
TWNK,4,TWNK
CAMKK2,30,CAMKK2
TGS1,26,TGS1
NUDCD1,6,NUDCD1
ERBIN,106,ERBIN
CTAGE1,18,CTAGE1
TUBGCP6,5,TUBGCP6
TUBGCP5,5,TUBGCP5
USP28,22,USP28
FNBP1,28,FNBP1
TRIB3,3,TRIB3
PCNX1,44,PCNX1
HMCN1,16,HMCN1
CRAMP1,24,CRAMP1
IFT140,11,IFT140
LMF1,1,LMF1
PRR25,2,PRR25
WDR24,9,WDR24
METTL26,4,METTL26
RAB40C,8,RAB40C
SLC22A12,1,SLC22A12
RPS6KC1,44,RPS6KC1
TP53RK,4,TP53RK
PIGS,1,PIGS
TESK2,12,TESK2
WRNIP1,27,WRNIP1
RANBP9,18,RANBP9
CSRNP1,5,CSRNP1
CLCC1,23,CLCC1
UBL7,9,UBL7
HAPLN3,3,HAPLN3
LYSMD1,16,LYSMD1
CCNL2,28,CCNL2
PEBP4,1,PEBP4
MYADM,13,MYADM
PLEKHF1,8,PLEKHF1
SERINC2,1,SERINC2
PPP1R9B,22,PPP1R9B
SRPK1,13,SRPK1
SMC6,9,SMC6
DCLRE1C,12,DCLRE1C
ZNF347,2,ZNF347
CCT8L2,3,CCT8L2
TBX15,6,TBX15
KCTD15,8,KCTD15
STRBP,10,STRBP
TMEM209,26,TMEM209
ZNF607,9,ZNF607
DIRC2,3,DIRC2
FIZ1,3,FIZ1
CPXM1,4,CPXM1
ORAI2,3,ORAI2
CDK5RAP2,46,CDK5RAP2
ZNF587,17,ZNF587
ATOH8,1,ATOH8
ZNF382,6,ZNF382
IWS1,104,IWS1
SIN3A,35,SIN3A
CEP89,21,CEP89
OSBPL9,26,OSBPL9
CRBN,3,CRBN
INTS14,3,INTS14
ZSCAN10,16,ZSCAN10
ADO,2,ADO
CDK5RAP1,2,CDK5RAP1
MAP7D2,40,MAP7D2
SECISBP2,6,SECISBP2
RSF1,89,RSF1
ZIC5,10,ZIC5
RBM15,97,RBM15
PPP1R16B,3,PPP1R16B
RUFY1,16,RUFY1
SPEN,188,SPEN
PNKP,7,PNKP
NMNAT3,1,NMNAT3
SETDB2,14,SETDB2
MMS19,14,MMS19
SLC9A7,8,SLC9A7
UHRF1,27,UHRF1
INSM2,9,INSM2
PCDHB18P,2,PCDHB18P
FAM129B,35,FAM129B
YME1L1,11,YME1L1
RMDN3,14,RMDN3
CSF3R,1,CSF3R
HBEGF,2,HBEGF
TCF12,68,TCF12
MUC4,14,MUC4
SCN2A,14,SCN2A
GAD1,1,GAD1
MYCBP,1,MYCBP
CYTH2,5,CYTH2
ACOX2,15,ACOX2
TBCB,12,TBCB
PSMB7,4,PSMB7
CNN2,21,CNN2
SEC62,21,SEC62
PCYT2,8,PCYT2
PHOX2B,2,PHOX2B
KRT12,4,KRT12
CDC5L,39,CDC5L
PSMD1,22,PSMD1
NOTCH4,7,NOTCH4
CD180,1,CD180
STAC,7,STAC
PFDN5,2,PFDN5
PAFAH2,2,PAFAH2
DDO,1,DDO
AGAP2,36,AGAP2
RNF2,7,RNF2
PARK7,4,PARK7
S1PR3,9,S1PR3
GAS2L1,42,GAS2L1
EYA1,2,EYA1
EYA3,17,EYA3
FMO2,1,FMO2
NEU1,4,NEU1
SORT1,6,SORT1
HIST1H4G,1,HIST1H4G
GPER1,2,GPER1
VAT1,9,VAT1
LGMN,2,LGMN
PLIN2,9,PLIN2
DNAJC2,13,DNAJC2
MPHOSPH6,5,MPHOSPH6
MPHOSPH8,45,MPHOSPH8
MPHOSPH9,45,MPHOSPH9
MTERF1,3,MTERF1
MAP3K14,9,MAP3K14
NUP88,26,NUP88
PKP4,156,PKP4
PIK3R4,21,PIK3R4
P2RX4,4,P2RX4
P2RX7,5,P2RX7
POP1,26,POP1
TSC22D3,9,TSC22D3
RIT2,1,RIT2
FEV,4,FEV
MNT,11,MNT
S100A13,5,S100A13
SCAF11,105,SCAF11
ZBTB18,19,ZBTB18
TBX5,8,TBX5
TEAD3,13,TEAD3
TIMM17A,1,TIMM17A
TSNAX,14,TSNAX
ELF4,16,ELF4
NDN,1,NDN
SEPHS2,6,SEPHS2
KLF6,11,KLF6
EIF3C,40,EIF3C
TTC1,10,TTC1
DNAJC7,13,DNAJC7
CCL13,1,CCL13
CDCA3,30,CDCA3
PHB2,23,PHB2
SLC38A3,6,SLC38A3
CDX2,10,CDX2
COPS8,2,COPS8
PRPF18,2,PRPF18
RAD9A,19,RAD9A
PKMYT1,31,PKMYT1
OSMR,14,OSMR
CHP1,3,CHP1
KIF2C,33,KIF2C
IL12RB2,6,IL12RB2
RGPD5,92,RGPD5
ZNF184,12,ZNF184
LPAR4,1,LPAR4
GPR20,3,GPR20
GPR22,1,GPR22
MAP3K5,22,MAP3K5
GFI1,13,GFI1
MGLL,3,MGLL
FEZ1,5,FEZ1
PITX2,9,PITX2
LYST,65,LYST
ATXN2,96,ATXN2
DOK1,28,DOK1
MCHR1,4,MCHR1
KIR2DL4,1,KIR2DL4
MTR,8,MTR
RBBP8,39,RBBP8
HSD17B10,6,HSD17B10
COL12A1,22,COL12A1
SMAD5,12,SMAD5
SEPT5,6,SEPT5
SIGMAR1,2,SIGMAR1
BARD1,22,BARD1
HNRNPAB,18,HNRNPAB
NAP1L4,24,NAP1L4
MGST2,1,MGST2
CDC6,19,CDC6
NPAS1,3,NPAS1
NPAS2,9,NPAS2
NAPG,9,NAPG
MDFI,6,MDFI
PIP5K1A,30,PIP5K1A
ABCA3,6,ABCA3
MAP3K3,38,MAP3K3
APBA2,16,APBA2
OLFM1,1,OLFM1
CMKLR1,4,CMKLR1
GPA33,2,GPA33
MIPEP,3,MIPEP
ACO2,5,ACO2
NKX3-1,3,NKX3-1
TM9SF2,2,TM9SF2
COQ7,1,COQ7
SLC29A1,8,SLC29A1
PRRX2,3,PRRX2
TSG101,7,TSG101
CIB1,2,CIB1
CPNE1,8,CPNE1
CCT7,17,CCT7
SMO,7,SMO
MYD88,5,MYD88
EBNA1BP2,13,EBNA1BP2
FOXB1,2,FOXB1
ARID3A,11,ARID3A
SPIN2A,3,SPIN2A
HAUS7,7,HAUS7
PRMT1,19,PRMT1
HIST1H2BN,17,HIST1H2BN
HIST1H2AJ,6,HIST1H2AJ
HIST1H2BM,17,HIST1H2BM
HIST1H2BL,17,HIST1H2BL
SLC6A7,1,SLC6A7
SSX3,1,SSX3
ASCL2,10,ASCL2
SPAG8,2,SPAG8
BAG1,11,BAG1
ATF6B,2,ATF6B
RNF5,1,RNF5
AGPAT1,2,AGPAT1
PTPN18,10,PTPN18
DUSP9,10,DUSP9
FOXC2,11,FOXC2
PKP2,78,PKP2
SH3GL1,11,SH3GL1
SH3GL2,4,SH3GL2
SH3GL3,5,SH3GL3
CITED2,1,CITED2
MYOC,11,MYOC
TEP1,15,TEP1
SEMA3C,2,SEMA3C
VRK1,15,VRK1
GDF15,1,GDF15
VGLL1,4,VGLL1
AKAP9,69,AKAP9
DPYSL5,10,DPYSL5
P2RY13,1,P2RY13
RASL11B,1,RASL11B
NIPSNAP1,3,NIPSNAP1
DHRS9,1,DHRS9
NCAPG,37,NCAPG
ARPC5L,7,ARPC5L
MICU1,4,MICU1
C7orf25,7,C7orf25
FAM118B,10,FAM118B
HOPX,4,HOPX
SPIN2B,3,SPIN2B
MAPKAP1,20,MAPKAP1
RBM4B,11,RBM4B
RETNLB,6,RETNLB
KCTD14,2,KCTD14
NABP2,7,NABP2
SPOCK3,2,SPOCK3
ZFYVE21,6,ZFYVE21
DDX50,30,DDX50
MRPL34,2,MRPL34
TREX2,1,TREX2
PDCD1LG2,2,PDCD1LG2
ELAC2,16,ELAC2
TRIR,14,TRIR
USB1,1,USB1
GRWD1,12,GRWD1
MACROD1,2,MACROD1
TCF25,15,TCF25
CMSS1,2,CMSS1
TBL1Y,2,TBL1Y
FAM110A,22,FAM110A
ECSIT,1,ECSIT
WDR77,4,WDR77
HINFP,1,HINFP
C17orf62,2,C17orf62
SOST,1,SOST
VKORC1,1,VKORC1
DPH2,12,DPH2
KXD1,1,KXD1
FAM173A,2,FAM173A
TUBA1C,41,TUBA1C
SELENOS,4,SELENOS
APOL2,4,APOL2
LBHD1,3,LBHD1
BCL7B,15,BCL7B
SENP7,21,SENP7
MYBBP1A,51,MYBBP1A
SYT3,6,SYT3
AIF1L,8,AIF1L
EIF2AK1,17,EIF2AK1
SGIP1,62,SGIP1
SLF1,11,SLF1
PSD2,14,PSD2
NRIP2,2,NRIP2
TMEM47,2,TMEM47
LPIN3,15,LPIN3
FERMT1,15,FERMT1
FAM83C,7,FAM83C
MGME1,7,MGME1
BPIFA3,2,BPIFA3
GORASP1,9,GORASP1
HEPH,13,HEPH
FYCO1,19,FYCO1
SLC25A21,1,SLC25A21
CLSTN3,4,CLSTN3
EBF4,1,EBF4
DBNDD2,1,DBNDD2
SULT4A1,2,SULT4A1
NEURL2,1,NEURL2
ZSWIM1,4,ZSWIM1
OCSTAMP,2,OCSTAMP
JPH2,30,JPH2
C20orf78,1,C20orf78
ACBD6,5,ACBD6
CORO1B,9,CORO1B
CCDC77,9,CCDC77
ZNF559,6,ZNF559
NAA38,9,NAA38
TXNDC17,5,TXNDC17
PLCD4,6,PLCD4
BUD13,74,BUD13
CPPED1,1,CPPED1
VPS25,2,VPS25
SH2D3A,20,SH2D3A
ZNF251,6,ZNF251
MRPL45,9,MRPL45
C7orf50,5,C7orf50
NUDT16L1,1,NUDT16L1
MESP1,1,MESP1
REEP2,7,REEP2
MXRA8,4,MXRA8
LZTS2,33,LZTS2
SDF4,9,SDF4
SRSF8,44,SRSF8
OVOL2,5,OVOL2
PDCD2L,3,PDCD2L
PAAF1,3,PAAF1
FDXACB1,1,FDXACB1
PYM1,14,PYM1
PYGO2,9,PYGO2
NUDT22,1,NUDT22
C11orf70,5,C11orf70
ORAI3,1,ORAI3
CHCHD6,14,CHCHD6
ZKSCAN3,5,ZKSCAN3
GPATCH1,14,GPATCH1
ARHGAP9,19,ARHGAP9
RIOK1,11,RIOK1
LARP6,24,LARP6
UQCC2,2,UQCC2
MIEN1,2,MIEN1
CBWD1,1,CBWD1
GINS4,7,GINS4
UTP23,5,UTP23
SIKE1,3,SIKE1
PELO,11,PELO
SLC39A3,5,SLC39A3
TRIM56,11,TRIM56
CENPK,2,CENPK
ERP44,5,ERP44
ZNF649,2,ZNF649
ZNF670,6,ZNF670
LXN,1,LXN
SLC35A5,8,SLC35A5
TTYH2,5,TTYH2
TMEM175,3,TMEM175
ATG101,2,ATG101
NOL10,17,NOL10
RHNO1,3,RHNO1
NTPCR,4,NTPCR
TMEM79,1,TMEM79
HERPUD2,6,HERPUD2
AGMAT,1,AGMAT
C2orf88,1,C2orf88
TIMM29,1,TIMM29
BTBD10,17,BTBD10
ZNF2,8,ZNF2
RTBDN,3,RTBDN
NICN1,1,NICN1
TACO1,2,TACO1
TINF2,6,TINF2
TRIM51,1,TRIM51
TUBGCP2,4,TUBGCP2
C17orf80,15,C17orf80
PIMREG,26,PIMREG
ESYT1,38,ESYT1
MARVELD1,1,MARVELD1
ZNF577,4,ZNF577
SLC25A33,1,SLC25A33
FEM1A,3,FEM1A
UBAC1,4,UBAC1
PCGF1,2,PCGF1
CCM2,32,CCM2
YIPF4,1,YIPF4
RTKN,27,RTKN
C16orf70,8,C16orf70
NAA11,6,NAA11
TSEN34,9,TSEN34
CRACR2A,14,CRACR2A
SYT17,6,SYT17
FUZ,1,FUZ
CNPY3,3,CNPY3
MTG1,3,MTG1
ALG1,3,ALG1
LIMD2,5,LIMD2
HAUS8,17,HAUS8
ALKBH7,2,ALKBH7
INPP5K,3,INPP5K
POLR3GL,2,POLR3GL
THAP7,3,THAP7
NDFIP1,2,NDFIP1
PSMG3,2,PSMG3
COPS4,11,COPS4
SOX7,4,SOX7
SYT11,6,SYT11
TCHP,1,TCHP
FAM167B,2,FAM167B
WAC,77,WAC
DIDO1,114,DIDO1
MTA3,31,MTA3
TMEM121,1,TMEM121
RBM42,3,RBM42
DCTN5,4,DCTN5
MCMBP,16,MCMBP
AARSD1,10,AARSD1
DCUN1D5,5,DCUN1D5
THUMPD2,1,THUMPD2
PAGR1,16,PAGR1
FAM103A1,3,FAM103A1
IER2,10,IER2
H2AFJ,6,H2AFJ
LRFN3,2,LRFN3
FAAP24,1,FAAP24
ANP32E,5,ANP32E
MED10,2,MED10
LRRC1,12,LRRC1
PI4K2A,16,PI4K2A
TMEM43,6,TMEM43
FSD1,12,FSD1
DPH7,3,DPH7
CABLES2,15,CABLES2
TBCD,3,TBCD
NDC1,28,NDC1
TTPAL,2,TTPAL
FUCA2,2,FUCA2
HGH1,5,HGH1
DHRS4,3,DHRS4
ZNF692,11,ZNF692
LMF2,12,LMF2
CENPO,5,CENPO
PRR15L,1,PRR15L
TRMO,3,TRMO
MMTAG2,21,MMTAG2
DOHH,1,DOHH
C11orf84,21,C11orf84
MYL10,4,MYL10
ADAT1,6,ADAT1
MKNK1,10,MKNK1
TMEM70,2,TMEM70
MED18,1,MED18
ISCA1,1,ISCA1
TUBB6,18,TUBB6
CRB3,3,CRB3
ZSCAN5A,10,ZSCAN5A
PAXX,7,PAXX
BEGAIN,35,BEGAIN
POLR3C,5,POLR3C
HNRNPUL1,23,HNRNPUL1
MSTO1,11,MSTO1
PHF23,30,PHF23
PDCD10,4,PDCD10
RPP25,10,RPP25
G6PC3,2,G6PC3
MENT,6,MENT
CCDC28B,4,CCDC28B
DERL1,3,DERL1
EFHD1,6,EFHD1
HTATIP2,5,HTATIP2
DDX23,17,DDX23
WRAP53,21,WRAP53
APOO,4,APOO
MCRIP2,10,MCRIP2
METTL22,3,METTL22
RSRP1,19,RSRP1
C9orf16,2,C9orf16
CHAC1,1,CHAC1
ZNF426,9,ZNF426
TRAF4,4,TRAF4
C1orf50,2,C1orf50
MRI1,4,MRI1
ABHD6,5,ABHD6
SLC25A23,3,SLC25A23
MLPH,50,MLPH
WDR18,2,WDR18
VAMP8,9,VAMP8
THUMPD3,7,THUMPD3
DUSP26,2,DUSP26
ADI1,3,ADI1
RNF126,4,RNF126
CEP250,36,CEP250
MECR,1,MECR
NTMT1,3,NTMT1
EDEM2,2,EDEM2
ZNF747,2,ZNF747
LRRC61,3,LRRC61
KATNB1,18,KATNB1
TUBB2B,34,TUBB2B
FICD,2,FICD
DSCC1,2,DSCC1
MLST8,9,MLST8
C2orf49,22,C2orf49
TMEM109,2,TMEM109
TRIM62,1,TRIM62
PBDC1,3,PBDC1
KIFC3,16,KIFC3
PTDSS2,5,PTDSS2
ST6GALNAC5,2,ST6GALNAC5
PHF20,34,PHF20
NOC4L,3,NOC4L
UTP14A,42,UTP14A
ALG8,1,ALG8
NUP58,5,NUP58
SELENOO,1,SELENOO
DPCD,3,DPCD
RUSC1,13,RUSC1
GNL3,8,GNL3
SPATA5L1,10,SPATA5L1
HERC2P3,18,HERC2P3
RIOK2,33,RIOK2
TRMT61B,1,TRMT61B
TMUB1,12,TMUB1
KIAA0586,33,KIAA0586
TIMM21,3,TIMM21
C19orf24,5,C19orf24
TIPIN,8,TIPIN
SARG,64,SARG
MXD3,1,MXD3
KIFC1,18,KIFC1
NUP85,11,NUP85
TPPP3,5,TPPP3
ELOVL1,2,ELOVL1
DDA1,8,DDA1
KATNAL1,4,KATNAL1
CINP,10,CINP
HIRIP3,54,HIRIP3
HIGD2A,2,HIGD2A
CCDC94,17,CCDC94
NUDT9,10,NUDT9
TARS2,4,TARS2
CCDC106,3,CCDC106
ACAT2,9,ACAT2
REPIN1,12,REPIN1
TRAIP,4,TRAIP
RBM4,22,RBM4
SSBP4,7,SSBP4
SCNM1,8,SCNM1
FUNDC2,6,FUNDC2
RPAP1,21,RPAP1
SF3B5,2,SF3B5
CYREN,3,CYREN
C1orf43,7,C1orf43
ZNF416,2,ZNF416
PRR14,22,PRR14
COLEC11,2,COLEC11
YIPF2,6,YIPF2
CHID1,2,CHID1
CDCA7,10,CDCA7
PAPOLG,39,PAPOLG
MND1,2,MND1
CARD10,12,CARD10
SLC4A1AP,27,SLC4A1AP
CDK19,3,CDK19
BOC,8,BOC
SPATA9,1,SPATA9
SSBP3,8,SSBP3
SCRT1,3,SCRT1
APOL6,5,APOL6
APOL5,2,APOL5
GTPBP2,7,GTPBP2
SYCP2,16,SYCP2
LSM14B,45,LSM14B
TAPBPL,1,TAPBPL
BRIP1,53,BRIP1
SORBS1,141,SORBS1
JAM3,3,JAM3
CARD6,13,CARD6
STRA6,9,STRA6
ZNF471,5,ZNF471
TRPM6,16,TRPM6
PLA2G12B,1,PLA2G12B
SGPP1,4,SGPP1
PLVAP,2,PLVAP
TSSK1B,3,TSSK1B
SALL3,19,SALL3
LGR4,3,LGR4
OSBPL11,32,OSBPL11
OSBPL10,35,OSBPL10
SPATA16,1,SPATA16
GPR174,2,GPR174
BBS2,2,BBS2
NPL,2,NPL
CECR2,13,CECR2
RAB11FIP5,58,RAB11FIP5
TEKT3,1,TEKT3
SPZ1,1,SPZ1
SLC25A2,1,SLC25A2
NT5C1A,2,NT5C1A
TBC1D10A,23,TBC1D10A
C1QTNF6,2,C1QTNF6
C1QTNF1,1,C1QTNF1
C1QTNF3,1,C1QTNF3
AMN,1,AMN
TMEM120A,5,TMEM120A
NAA15,13,NAA15
KLF16,22,KLF16
BCL2L13,24,BCL2L13
HEMGN,5,HEMGN
CARD14,13,CARD14
CARD11,27,CARD11
CDCA4,2,CDCA4
PRX,9,PRX
PINK1,5,PINK1
FSD1L,10,FSD1L
CLEC7A,1,CLEC7A
SPANXD,2,SPANXD
SLC12A9,12,SLC12A9
SRRT,29,SRRT
PAPPA2,6,PAPPA2
TMEM121B,1,TMEM121B
QTRT1,6,QTRT1
TLR10,1,TLR10
CFHR5,1,CFHR5
COL25A1,3,COL25A1
IDI2,1,IDI2
TMEM59,7,TMEM59
AP1M1,11,AP1M1
NUSAP1,48,NUSAP1
SLC26A6,6,SLC26A6
TDRD1,8,TDRD1
TEX15,17,TEX15
MOV10L1,6,MOV10L1
RNF17,16,RNF17
STK31,6,STK31
TEX13A,1,TEX13A
USP26,3,USP26
GON7,1,GON7
OSBPL1A,20,OSBPL1A
HDHD5,2,HDHD5
FANCD2,32,FANCD2
EMILIN2,2,EMILIN2
ANKRD30B,6,ANKRD30B
ANKRD30A,7,ANKRD30A
MAK16,15,MAK16
RSPO3,2,RSPO3
BEX2,1,BEX2
SLC4A5,1,SLC4A5
SLC46A2,2,SLC46A2
PACSIN1,10,PACSIN1
SCAPER,14,SCAPER
ADGRE3,13,ADGRE3
GPR87,6,GPR87
ZNF717,7,ZNF717
ITPA,1,ITPA
RTFDC1,7,RTFDC1
CHMP4A,4,CHMP4A
EIF2A,23,EIF2A
PECR,3,PECR
SEC11C,1,SEC11C
UGT2B28,5,UGT2B28
KDM5D,4,KDM5D
CADM1,3,CADM1
POLDIP3,31,POLDIP3
RNF26,2,RNF26
MFRP,1,MFRP
DUSP16,10,DUSP16
KIAA1671,143,KIAA1671
SHANK3,65,SHANK3
GNB1L,2,GNB1L
OXCT2,1,OXCT2
FUT8,4,FUT8
MRPL32,1,MRPL32
MRPL13,3,MRPL13
MRPL9,4,MRPL9
MRPL4,6,MRPL4
MRPL1,2,MRPL1
TMPRSS13,18,TMPRSS13
LCE3D,3,LCE3D
PCGF6,8,PCGF6
CDHR2,6,CDHR2
B3GNT5,2,B3GNT5
NIFK,18,NIFK
PARD6G,14,PARD6G
PARD6B,9,PARD6B
GSDMC,1,GSDMC
SEZ6L,5,SEZ6L
FAM126A,32,FAM126A
TRIM34,3,TRIM34
YTHDF1,15,YTHDF1
HELZ2,16,HELZ2
SAMD10,5,SAMD10
RBCK1,9,RBCK1
SRXN1,3,SRXN1
ZNF341,3,ZNF341
MRPS26,1,MRPS26
WNK3,38,WNK3
KRTAP3-1,2,KRTAP3-1
KRTAP2-4,1,KRTAP2-4
LRRC2,7,LRRC2
SLC17A9,1,SLC17A9
STK33,14,STK33
KRTAP2-2,1,KRTAP2-2
NLN,12,NLN
ANO3,1,ANO3
KRTAP2-1,1,KRTAP2-1
AGXT2,1,AGXT2
TRIM54,5,TRIM54
TRIM55,3,TRIM55
BCO2,2,BCO2
CEP41,13,CEP41
BACH2,19,BACH2
SLC2A11,3,SLC2A11
SETD2,120,SETD2
TBC1D2,11,TBC1D2
IFIH1,4,IFIH1
POTEKP,13,POTEKP
LDHAL6B,2,LDHAL6B
RHOBTB2,4,RHOBTB2
ADAM33,1,ADAM33
PANK2,12,PANK2
DOCK9,67,DOCK9
FRMD8,20,FRMD8
FRMD8P1,7,FRMD8P1
PITPNM3,18,PITPNM3
PITPNM2,33,PITPNM2
CNTNAP3,12,CNTNAP3
NSD3,45,NSD3
TXLNGY,1,TXLNGY
PCDH11X,7,PCDH11X
PCDH11Y,8,PCDH11Y
CPEB1,9,CPEB1
CELF4,1,CELF4
ABCA2,21,ABCA2
SLC29A3,10,SLC29A3
GCOM2,11,GCOM2
NUF2,4,NUF2
PRRG4,8,PRRG4
PRRG3,3,PRRG3
GLIS2,5,GLIS2
MRPL37,4,MRPL37
PUS3,7,PUS3
GTPBP4,14,GTPBP4
ASPSCR1,16,ASPSCR1
OSBPL8,49,OSBPL8
OSBPL7,8,OSBPL7
OSBPL6,26,OSBPL6
UACA,14,UACA
DPH1,6,DPH1
WDR11,30,WDR11
IRX2,8,IRX2
UPF3B,27,UPF3B
CRNKL1,13,CRNKL1
TPSD1,1,TPSD1
SLC25A39,2,SLC25A39
GPR61,1,GPR61
NACAP1,5,NACAP1
TBL1XR1,4,TBL1XR1
UBL5,2,UBL5
PPP1R12C,29,PPP1R12C
PRKD2,33,PRKD2
GSX2,2,GSX2
ULBP2,2,ULBP2
ULBP1,1,ULBP1
SHCBP1L,3,SHCBP1L
NMNAT2,5,NMNAT2
EDEM3,1,EDEM3
FAM129A,27,FAM129A
RTN4R,6,RTN4R
BCL2L14,3,BCL2L14
TRIM8,3,TRIM8
FOXP3,3,FOXP3
UBXN6,9,UBXN6
SLC19A3,7,SLC19A3
IMPG2,3,IMPG2
TM6SF2,3,TM6SF2
TSGA10,5,TSGA10
CD244,5,CD244
UCK2,9,UCK2
TRIM31,4,TRIM31
SIGLEC1,7,SIGLEC1
API5,15,API5
NLRP1,2,NLRP1
SPRY4,18,SPRY4
DPY30,3,DPY30
FOXQ1,3,FOXQ1
PKIB,1,PKIB
TRIM15,3,TRIM15
TRIM9,7,TRIM9
TRIM7,6,TRIM7
TRIM5,6,TRIM5
TRIM4,4,TRIM4
TRIM2,21,TRIM2
FAM117A,32,FAM117A
KRT23,11,KRT23
INO80B,16,INO80B
GREB1L,6,GREB1L
SPEF2,9,SPEF2
DCLK3,2,DCLK3
LRRCC1,3,LRRCC1
CNTNAP4,4,CNTNAP4
ZFHX2,13,ZFHX2
SETD5,56,SETD5
UNK,20,UNK
FTO,9,FTO
CFAP74,3,CFAP74
ZDHHC5,94,ZDHHC5
BRINP2,1,BRINP2
TANGO6,12,TANGO6
ZCCHC2,12,ZCCHC2
TNKS1BP1,175,TNKS1BP1
SEMA4C,14,SEMA4C
CIPC,9,CIPC
AMBRA1,31,AMBRA1
UBE2O,51,UBE2O
PHACTR1,11,PHACTR1
CEP295,25,CEP295
ZYG11B,4,ZYG11B
ZNF518B,7,ZNF518B
TANC1,84,TANC1
FHDC1,30,FHDC1
ZC3H12C,24,ZC3H12C
SELENOI,2,SELENOI
XPO4,15,XPO4
GRIP2,10,GRIP2
LNPK,16,LNPK
ASXL3,20,ASXL3
CEP44,13,CEP44
ZNF436,7,ZNF436
ZNF407,26,ZNF407
DNAH6,37,DNAH6
TTYH3,16,TTYH3
ARHGAP39,58,ARHGAP39
KLHL4,3,KLHL4
SRCIN1,65,SRCIN1
MTMR12,15,MTMR12
CCSER1,13,CCSER1
THSD7B,1,THSD7B
LRRC27,4,LRRC27
B3GNT4,5,B3GNT4
WDR33,22,WDR33
BHLHE41,1,BHLHE41
BCL11B,55,BCL11B
SLC39A8,3,SLC39A8
ACTR3C,1,ACTR3C
STRADB,4,STRADB
WDR12,7,WDR12
POLR2J2,1,POLR2J2
NDEL1,13,NDEL1
ACTR6,1,ACTR6
TGIF2,9,TGIF2
PRSS22,3,PRSS22
ROGDI,1,ROGDI
C20orf27,7,C20orf27
PDGFD,5,PDGFD
NRSN2,14,NRSN2
PITHD1,4,PITHD1
IMUP,9,IMUP
DERL2,3,DERL2
COMMD5,1,COMMD5
NPFFR1,1,NPFFR1
SENP6,31,SENP6
REXO4,11,REXO4
ELOVL4,3,ELOVL4
DDX24,24,DDX24
