Genes,PhosNo,Norm_Symbol
NUDT19,4,NUDT19
CDRT15L2,1,CDRT15L2
ZNF99,20,ZNF99
FAM90A23P,5,FAM90A23P
CXorf49,11,CXorf49
ODF3B,1,ODF3B
KCNU1,5,KCNU1
DCDC2C,3,DCDC2C
MINDY4B,1,MINDY4B
FOXO6,2,FOXO6
GOLGA6L6,7,GOLGA6L6
PRR33,11,PRR33
C16orf90,1,C16orf90
COL6A5,15,COL6A5
KPNA7,2,KPNA7
MIF4GD,1,MIF4GD
AHRR,6,AHRR
FER1L4,8,FER1L4
UPK3BL1,4,UPK3BL1
MYO1G,12,MYO1G
HACD1,7,HACD1
FHAD1,17,FHAD1
ESPN,11,ESPN
NUTM2E,5,NUTM2E
IBA57-AS1,3,IBA57-AS1
WDR64,5,WDR64
FAM220BP,2,FAM220BP
ZNF487,1,ZNF487
KLLN,2,KLLN
RSPH10B2,3,RSPH10B2
CENPBD1,1,CENPBD1
HMGB1P1,9,HMGB1P1
MYO9A,45,MYO9A
POTEC,2,POTEC
SMIM1,6,SMIM1
TMEM229A,3,TMEM229A
ZBTB42,6,ZBTB42
HNRNPCL2,11,HNRNPCL2
SRRM5,29,SRRM5
IQCJ-SCHIP1,19,IQCJ-SCHIP1
TMEM114,1,TMEM114
NBPF26,1,NBPF26
TMEM233,1,TMEM233
ZNF879,6,ZNF879
ZNF736,3,ZNF736
ZNF732,10,ZNF732
SPATA31C2,3,SPATA31C2
TCP11X1,1,TCP11X1
SEC14L6,1,SEC14L6
TDRD15,6,TDRD15
EIF3CL,40,EIF3CL
TARM1,4,TARM1
ERVV-1,1,ERVV-1
ERVV-2,2,ERVV-2
KCNJ18,2,KCNJ18
C2CD4D,3,C2CD4D
ZNF814,8,ZNF814
RABGAP1L,24,RABGAP1L
GPR89A,2,GPR89A
PPP1R3G,4,PPP1R3G
KIF28P,2,KIF28P
HNRNPCL3,12,HNRNPCL3
SHISA8,1,SHISA8
IGLL5,1,IGLL5
TBC1D3L,2,TBC1D3L
TCP10L2,2,TCP10L2
WASH3P,10,WASH3P
AJM1,22,AJM1
ALG1L2,1,ALG1L2
USP17L15,4,USP17L15
C4orf51,1,C4orf51
C22orf46,1,C22orf46
C19orf81,2,C19orf81
RASA4B,10,RASA4B
UMAD1,1,UMAD1
KRBOX1,2,KRBOX1
C12orf77,1,C12orf77
NPIPB4,10,NPIPB4
PRRT4,11,PRRT4
TMEM238,4,TMEM238
BTBD19,1,BTBD19
USP17L10,4,USP17L10
HHLA1,6,HHLA1
USP17L13,2,USP17L13
C11orf95,3,C11orf95
MCRIP1,12,MCRIP1
ZNF878,10,ZNF878
USP17L12,5,USP17L12
TMEM232,1,TMEM232
KBTBD13,2,KBTBD13
AKR1B15,4,AKR1B15
BHMG1,2,BHMG1
ANKRD63,6,ANKRD63
USP17L11,4,USP17L11
INAFM1,2,INAFM1
USP17L21,4,USP17L21
USP17L18,4,USP17L18
USP17L22,5,USP17L22
USP17L17,2,USP17L17
USP17L19,5,USP17L19
CFAP99,1,CFAP99
GOLGA8K,6,GOLGA8K
MCIDAS,3,MCIDAS
USP17L20,4,USP17L20
PRSS46P,1,PRSS46P
NPIPB11,10,NPIPB11
UPK3BL2,4,UPK3BL2
ANKRD65,1,ANKRD65
RNF223,7,RNF223
