Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
KRT17,9938877.415109957,9938877.415109957,9938877.415109957,10393739.367669713,10393739.367669713,10393739.367669713,10393739.367669713,KRT17
KRT2,11567533.036375048,11567533.036375048,11567533.036375048,10141217.778209642,91476623.97249508,10141217.778209642,10141217.778209642,KRT2
KRT222,10249233.24455198,10249233.24455198,10249233.24455198,10824310.834175514,10824310.834175514,10824310.834175514,10824310.834175514,KRT222
KRT5,9876273.309354393,9876273.309354393,9876273.309354393,10253859.162993267,10253859.162993267,10253859.162993267,10253859.162993267,KRT5
KRT9,10998419.313758384,10998419.313758384,10998419.313758384,9885072.588687783,93419442.84059247,9885072.588687783,9885072.588687783,KRT9
KSR1,9598050.786500407,9598050.786500407,9598050.786500407,9373026.210966753,9373026.210966753,9373026.210966753,9373026.210966753,KSR1
KTN1,993135044.6180158,693210523.2834612,511135282.9176217,1053627242.5446842,1294257066.0230052,1121387014.9542184,916250596.5319136,KTN1
KXD1,9214851.919475993,9214851.919475993,609977781.387443,12777871.286447747,12777871.286447747,12777871.286447747,12777871.286447747,KXD1
L1CAM,14274356411.303862,8211093517.3199215,8984703195.217596,10415667467.965857,8884881872.742485,8220808168.167278,10138816931.08605,L1CAM
L2HGDH,356210324.11222434,412327232.8853394,299392489.3487985,366279693.41511273,297076504.21153533,354051167.800741,395266344.39770216,L2HGDH
L3HYPDH,11545124.207274733,11545124.207274733,11545124.207274733,10175037.98993975,10175037.98993975,10175037.98993975,10175037.98993975,L3HYPDH
LACTB,47733703.98973031,56382108.77486789,99608964.25956844,355960467.51748884,22229070.20197515,22229070.20197515,22229070.20197515,LACTB
LACTB2,65442758.48588127,56095129.99572429,48361675.92657672,23592994.0241352,79837478.27722794,78720132.17031665,23592994.0241352,LACTB2
LAIR2,10130320.87427812,10130320.87427812,10130320.87427812,10435010.586475672,10435010.586475672,10435010.586475672,10435010.586475672,LAIR2
LAMA1,9650027.247385366,9650027.247385366,9650027.247385366,9077061.01636524,9077061.01636524,9077061.01636524,9077061.01636524,LAMA1
LAMA2,127197064.80095448,169299715.89035943,106623517.8043956,295607878.40942395,23150652.185756505,339767237.54785085,404177819.7896048,LAMA2
