Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
DTNA,153752163.96070322,428058858.7728342,294945307.53226787,611252742.2471597,284052332.5368957,477883466.5617049,50263371.49249411,DTNA
DTX3,62619748.39541192,6276932.437555335,46784086.35802626,31576739.31032725,322928828.6623897,31576739.31032725,31576739.31032725,DTX3
DTX3L,9886947.617356293,9886947.617356293,9886947.617356293,8800026.439884098,8800026.439884098,8800026.439884098,8800026.439884098,DTX3L
DTYMK,17350515.18987022,9830440.440834956,9830440.440834956,12301839.603142975,12301839.603142975,12301839.603142975,12301839.603142975,DTYMK
DUSP19,10040661.779979546,10040661.779979546,10040661.779979546,9441162.343162458,9441162.343162458,9441162.343162458,9441162.343162458,DUSP19
DUSP23,77697476.69990656,9228229.6083354,9228229.6083354,13231314.19938984,13231314.19938984,13231314.19938984,13231314.19938984,DUSP23
DUSP3,2222614822.969873,2476963416.94022,1880247153.1821246,2091813725.9459288,1776088763.914114,2107790645.2318187,1852702934.097108,DUSP3
DUT,347269945.54561573,182181782.7614241,808997751.2185577,521522737.8933277,566504771.8298193,540141059.65459,660249957.9201795,DUT
DXO,31215692.15735733,9430896.793460358,9430896.793460358,26835292.562851354,26835292.562851354,26835292.562851354,26835292.562851354,DXO
DYNC1H1,75110556091.15285,76802995573.84528,55157413044.90232,75033066060.9446,74130985963.14882,72484017308.58324,70918174038.28886,DYNC1H1
DYNC1I1,1352694798.2121098,1933089554.8848808,1127954955.5253673,1875063014.1907992,1923647283.288618,1699195007.5848513,1511772326.9458752,DYNC1I1
DYNC1I2,1584316657.8542945,2397556432.10155,902364253.4548576,1598162738.2002099,1263998803.3724065,602596614.0880197,51922629.19197178,DYNC1I2
DYNC1LI1,2159618982.4815907,2469085402.6062016,1862819631.336659,1847099058.3154144,1508608115.3024778,1944405060.9617226,2138837341.755029,DYNC1LI1
DYNC1LI2,3149708157.274004,4047402331.27961,2753890162.7971444,2992310162.9481444,3432166447.667081,3025521705.731989,2624712943.898832,DYNC1LI2
DYNC2H1,9131356.966108866,9131356.966108866,9131356.966108866,14275848.492367774,14275848.492367774,14275848.492367774,14275848.492367774,DYNC2H1
DYNLL1,673859072.1648117,2349043871.083602,457300096.36730456,1251326129.04678,778302866.9226217,64699746.4607686,64699746.4607686,DYNLL1
DYNLL2,7525936805.083091,10618169329.059616,7442550135.823988,6982698083.351892,9042127006.935793,8692562362.542288,10097891791.346504,DYNLL2
DYNLRB1,1637444707.1239731,1313369791.6076086,1144568463.385283,2422322741.586993,2061990857.6546452,2496929409.9663963,2489773198.4578624,DYNLRB1
DYNLT1,135824282.44529772,6855947.45767647,6855947.45767647,184597995.48789155,20885586.368132927,20885586.368132927,20885586.368132927,DYNLT1
DYNLT3,325989721.44740266,497919379.88711673,267566049.5514234,948002238.8694793,54608923.57315578,54608923.57315578,54608923.57315578,DYNLT3
EARS2,110445144.4139464,160455216.8148633,67895488.70890833,331513189.33583933,29366218.32793609,227332976.68489692,29366218.32793609,EARS2
ECE2,28428796.884356424,9756490.270650782,9756490.270650782,9356942.9035043,9356942.9035043,9356942.9035043,9356942.9035043,ECE2
ECH1,1567287798.3977768,1794266586.0305195,2021072886.6047661,2011354019.3636785,1964934802.2887187,1810979926.1781886,1878346285.2522156,ECH1
ECHDC1,352624377.38710535,602932966.6575222,369679714.2366079,455506857.0666497,559981604.6471062,535066480.45406306,517436199.6157252,ECHDC1
ECHS1,5333728492.005112,8409302915.697356,8331879062.064551,7598594095.025481,8082804098.36592,9058334788.38622,8933316795.073761,ECHS1
ECI1,312256623.0853293,478957216.162324,655443145.1161468,578099177.9312531,720471373.8922049,410566302.7918193,767621952.1085957,ECI1
ECI2,131938812.56232692,308362056.16932184,289536388.65057534,338069115.7694836,394137320.9017528,42010841.60836554,541356553.143874,ECI2
ECSIT,9764172.658912437,69406647.29366997,9764172.658912437,12104223.69577192,12104223.69577192,12104223.69577192,153629066.94287091,ECSIT
EDC3,35607074.45672858,46021718.91814692,38752135.91834068,12161975.113489028,12161975.113489028,12161975.113489028,12161975.113489028,EDC3
EDC4,135820295.1207194,156411768.93647537,161987088.34151453,277277874.9106432,451872502.39700776,52262038.61583619,1413942416.940335,EDC4
EDF1,269663970.4805477,319047685.48287666,219853353.87881845,33978933.171006605,33978933.171006605,458973546.9580672,33978933.171006605,EDF1
EDIL3,10707680.239690384,72100331.28323221,10707680.239690384,10742002.326527836,10742002.326527836,160919793.42883393,121056189.70825128,EDIL3
EDNRB,10062999.805599988,10062999.805599988,10062999.805599988,9539122.843335854,9539122.843335854,9539122.843335854,9539122.843335854,EDNRB
EEA1,1229535471.3869715,1448824987.7260199,1355986925.6245255,1585769691.4604974,1370176668.379643,1588054375.0230405,1602879587.337468,EEA1
EEF1A1,9398769155.194914,13207949300.721916,9489257681.618944,10518539231.587564,9011647421.108644,7890103747.244731,8846390120.863724,EEF1A1
EEF1A2,33794623728.973133,41435996183.882256,33687212080.69316,36734057782.4311,28092746715.234142,28555447085.880768,31069933519.944763,EEF1A2
EEF1B2,2530185807.619248,2391862399.056061,1727773109.8861315,2320894589.5183806,2038677171.2854774,2358054231.734298,2464911343.826941,EEF1B2
EEF1D,1415690106.103405,1480558364.4587545,1182341860.1231663,1375662528.3509507,1183735079.1177626,1280174061.484211,1600209625.3983884,EEF1D
EEF1E1,235897443.4643612,304128937.0069801,219210663.91598395,287458865.8070237,298673390.2714407,281965413.456805,400755380.1698248,EEF1E1
EEF1G,8301183003.631437,6357633225.902804,6365913549.340746,6181523351.689796,6051528929.697295,5962571096.236329,7167197203.011586,EEF1G
EEF2,11223779987.244242,12860422198.478556,11163058914.678862,10578572694.143995,10914679184.456457,9200877875.69405,10639905477.431923,EEF2
EEFSEC,242603060.30354,240720242.3128372,249886309.1413349,26401464.419147827,343203001.94361985,154576933.2488704,84675910.88849936,EEFSEC
EFCAB5,10127589.583023366,10127589.583023366,10127589.583023366,9432668.31668743,9432668.31668743,9432668.31668743,9432668.31668743,EFCAB5
EFEMP1,28027695.567011014,9440011.050835868,51923901.08303765,13545046.911687782,13545046.911687782,13545046.911687782,13545046.911687782,EFEMP1
EFHD1,10308516.836989034,10308516.836989034,10308516.836989034,9927393.570933985,9927393.570933985,9927393.570933985,9927393.570933985,EFHD1
EFHD2,204508187.96984085,883603318.1781921,957201286.1841248,1374913493.5548534,1272613853.8043175,1173704219.2662392,870766453.7295513,EFHD2
EFNB2,22723730.22953947,9510865.494594127,9510865.494594127,10848854.258345567,10848854.258345567,10848854.258345567,10848854.258345567,EFNB2
EFNB3,21517990.049573004,9466289.92901456,9466289.92901456,11734827.107518826,11734827.107518826,11734827.107518826,11734827.107518826,EFNB3
EFR3A,234982913.27341723,167763971.15500548,326621012.7605588,394137711.68639696,353602954.28218234,346978153.3198258,617597404.8185875,EFR3A
EFR3B,428933055.49578834,346737694.27311486,254067004.50059068,325746723.58493155,264807886.55815265,447170850.8435196,287609634.0488122,EFR3B
EFTUD2,369320071.1874185,313068004.38594747,343829203.2763225,270565232.4262265,715986001.9234637,154290163.7986943,724220006.3579397,EFTUD2
EGFR,107317581.25629576,97938388.84658591,323141391.209903,570472664.9711871,372610103.1386989,174801125.77404764,489664332.3311095,EGFR
EGLN3;EGLN1,9116003.095904456,9116003.095904456,9116003.095904456,13326970.76433979,13326970.76433979,13326970.76433979,13326970.76433979,EGLN3
EHBP1;EHBP1L1,28275193.68671201,10086181.12175452,10086181.12175452,9400041.52035867,9400041.52035867,9400041.52035867,9400041.52035867,EHBP1
EHD1,696135910.540413,710451150.6851739,741905577.1009308,1119143314.0373702,1197224860.9622245,1015021622.7178658,864027949.4487443,EHD1
EHD2,139741338.14947718,273496228.43043447,322563253.1162518,230645789.2048188,320851298.69167066,269514938.26167023,197338699.36753175,EHD2
EHD3,5139145669.832696,8421761155.607623,8080339375.632695,6917060330.414326,8247834162.619765,6770975683.107333,6804589486.267968,EHD3
EHD4,66783603.45397385,77558432.02548926,83041472.18881692,13486417.210134588,13486417.210134588,13486417.210134588,13486417.210134588,EHD4
EHMT2,9606830.87584344,9606830.87584344,9606830.87584344,9059599.60147646,9059599.60147646,9059599.60147646,9059599.60147646,EHMT2
EIF1,86754348.86746907,105998417.90820138,103238638.02910018,52951812.29692824,52951812.29692824,52951812.29692824,52951812.29692824,EIF1
EIF1AX,199343541.8498369,135170424.31671593,90861543.00442132,409904967.2010957,455179083.4582597,32262598.077617936,340506349.3328986,EIF1AX
EIF1B,87768252.93029022,304934786.67535937,209394903.11408588,401632354.10633767,392401654.1871011,131563721.61194512,39205384.77254966,EIF1B
EIF2A,23609451.97728059,91815272.81579828,67592754.76205164,24331266.5742493,24331266.5742493,24331266.5742493,24331266.5742493,EIF2A
EIF2AK2,230996539.90611583,425411504.05930465,333558568.30769485,366377936.91505784,35689374.01682343,340706930.05154014,406786419.5557973,EIF2AK2
EIF2B1,385673636.36269593,179980319.44300652,189091540.3298756,286981923.4143184,41696905.52131213,352827249.32137185,343456765.7044393,EIF2B1
EIF2B2,46692062.5505529,53350369.37020831,65893616.88152668,113095603.86267269,23529719.79031913,47895384.72193165,107779752.1850306,EIF2B2
EIF2B3,129211425.81883432,84336112.32569742,57641864.34326393,33046224.741923153,33046224.741923153,33046224.741923153,139636625.28135335,EIF2B3
EIF2B4,56040512.85760841,105448935.05720007,76140202.63756804,103324298.21288686,80457247.54364002,67579207.91918445,120965332.32457832,EIF2B4
EIF2B5,10290943.475929428,10290943.475929428,10290943.475929428,10901172.365267644,10901172.365267644,10901172.365267644,150034287.36467585,EIF2B5
EIF2S1,798094020.0614077,726596227.5532112,703699330.4359328,596059024.9085482,696161931.8213062,483084666.8944301,693677228.8994862,EIF2S1
EIF2S2,321050607.25147533,1455623202.220206,807688045.3417834,38880550.834394224,568476656.7011932,38880550.834394224,456228840.99559385,EIF2S2
EIF2S3,1329938266.6080222,1038756209.1767422,1215905659.181684,1387561098.1434119,910444795.634002,1166036392.6259544,1222595216.6527302,EIF2S3
EIF3A,1364544030.8040347,1624445679.9715538,1181948346.7042847,1419649124.0286722,1034083742.3653221,1036668636.1760117,1301184465.1618187,EIF3A
EIF3B,651567212.5557772,841000170.0264838,1013239972.8447024,817814150.2978784,977918871.3735057,1044465701.3824693,1179180198.3826807,EIF3B
EIF3C,525758196.071384,548581501.8248367,1032612060.907977,713667579.7140857,609644727.9680071,624963736.2808242,704358840.0797279,EIF3C
EIF3D,725233511.8964447,547184015.8029697,261634965.59233585,263904610.10307536,50481743.39223849,50481743.39223849,386897830.6291992,EIF3D
EIF3E,573626191.3115879,974522292.5260748,704489536.3510048,779250313.1952982,933395718.8471477,722920020.9383974,665392472.741116,EIF3E
EIF3F,1376671731.7301831,719455226.6977159,663690763.4037333,399674523.72242296,386438215.45482814,275572765.31319314,386072468.55998266,EIF3F
EIF3G,131199934.16063309,158889595.01813814,139252489.54577318,11594012.564966999,182103022.2211921,11594012.564966999,11594012.564966999,EIF3G
EIF3H,142714928.70656392,124887040.45056652,124010182.71986829,71226341.93763508,71226341.93763508,71226341.93763508,71226341.93763508,EIF3H
EIF3I,981284183.5652788,854236710.0413437,420032498.5315085,631009610.713032,314387347.0919998,42546581.66033028,42546581.66033028,EIF3I
EIF3J,521820227.32048583,423118751.95157367,288163847.3552847,509463488.07482505,570314926.5592991,404048473.1881544,426879501.0658513,EIF3J
EIF3K,446678013.24975544,675481839.6585218,787818678.6051793,335245441.1569335,41302270.406701796,41302270.406701796,41302270.406701796,EIF3K
EIF3L,601391231.027463,616416375.4806298,748892457.5095189,679155763.3675767,988116244.50689,574125884.6297765,915371469.2555939,EIF3L
EIF3M,776591438.3659321,191327337.88240615,178630795.6711961,370242195.1563654,55413534.72877222,376153579.3725227,890598822.7139137,EIF3M
EIF4A1,1069300575.3476324,926557472.0619844,695607697.4986743,750397613.0155027,783770534.6016594,595142375.7365665,812329207.1597916,EIF4A1
EIF4A2,7981981664.014727,10656863370.22739,9989634222.075323,10099238112.483929,9330280409.476128,9035662968.392698,11135299584.459568,EIF4A2
EIF4A3,517417856.9340709,433068965.8767107,377278732.006409,371033187.8986584,653760324.0205476,282462989.92993915,779687253.7939253,EIF4A3
EIF4B,530221541.14279246,762235044.4863473,578710221.3925648,729759509.3477622,890872401.1819133,833647437.0065327,806305901.7013774,EIF4B
EIF4E,579607278.7702838,897438874.8999124,649230765.6148554,708743575.1753091,693426615.6893753,626754190.4310849,786864854.898379,EIF4E
EIF4E2,9199560.571019806,87456048.95171696,9199560.571019806,24440270.979406584,24440270.979406584,24440270.979406584,24440270.979406584,EIF4E2
EIF4EBP2,9635744.411481218,9635744.411481218,9635744.411481218,10249831.080950294,10249831.080950294,10249831.080950294,10249831.080950294,EIF4EBP2
EIF4G1,1221324212.2673755,1365409110.2041652,645943879.7569215,1086231205.1307633,759471661.5346361,861803786.872013,931266266.7617096,EIF4G1
EIF4G2,924133986.7988377,1043376046.2493937,1103272992.6904492,872908976.7944869,709126130.4471202,652898084.2672478,842224644.7987927,EIF4G2
EIF4G3;CBFA2T2,232785988.7026583,310123750.64614064,349902338.57246083,838386498.5897937,1186375693.5726821,66076271.18422707,999995960.3528734,EIF4G3
EIF4H,1705588010.827702,3251436276.67433,2588519424.3934307,2582896784.990784,2563113228.673915,2370635910.8964424,2284447748.4176745,EIF4H
EIF5,1171942225.024353,1453265307.3228028,1037452148.2049947,862527294.8517113,903355777.758442,1022954472.5482851,794519844.8097154,EIF5
EIF5A,4998253792.636014,4424489968.724905,2382625831.365909,5223052997.772058,5628681342.910517,6639829886.244663,6239063614.649423,EIF5A
EIF5B,31651900.476530045,154641923.82477376,119776212.07663836,26766432.60220236,155718918.64633924,26766432.60220236,26766432.60220236,EIF5B
EIF6,157868063.7014763,224732702.5591465,320143093.53359216,429415367.80914265,406814170.09538,366737843.40738463,487554215.8421686,EIF6
ELAC2,9598532.649851613,9598532.649851613,9598532.649851613,11434103.877213392,11434103.877213392,11434103.877213392,11434103.877213392,ELAC2
ELAVL1,756907188.9549173,659225578.6478353,551646348.9970454,482202288.6342796,342585789.56669825,18379611.00380041,305882764.1541745,ELAVL1
ELAVL2,690947622.6697202,933609015.7776167,1024986485.8912069,1052751681.5810293,689868093.6145152,1102927071.0630066,1506521928.4272141,ELAVL2
ELAVL3,804078553.398088,721260577.0554098,705004870.8099216,910618738.9724641,792478110.4008635,808364766.2475505,954556925.3244576,ELAVL3
ELAVL4,10219624.923676783,168774140.78123364,10219624.923676783,10956050.343816906,167624840.64829367,10956050.343816906,178145019.60546207,ELAVL4
ELF2,18135925.97616563,18135925.97616563,18135925.97616563,9073933.852385212,9073933.852385212,102055720.00222242,9073933.852385212,ELF2
ELFN2,27692944.25073184,78552233.32253645,9269491.006076016,14247741.797767876,14247741.797767876,14247741.797767876,14247741.797767876,ELFN2
ELMO1,108947952.41249436,284074364.50326675,330188455.88390213,338245108.49529374,214427852.6780866,203884746.80782104,283483520.30368084,ELMO1
ELMO2,39279246.61259679,35400744.15691979,42801447.68284018,31139891.332749397,31139891.332749397,292960666.5673475,31139891.332749397,ELMO2
ELMOD1,9562528.620493956,9562528.620493956,9562528.620493956,12722526.53964249,12722526.53964249,12722526.53964249,12722526.53964249,ELMOD1
ELOVL4,10470973.037619734,10470973.037619734,10470973.037619734,10385798.63919743,10385798.63919743,10385798.63919743,10385798.63919743,ELOVL4
ELP2,9555358.402075795,9555358.402075795,9555358.402075795,20750504.52239102,20750504.52239102,20750504.52239102,20750504.52239102,ELP2
ELP3,10251481.096420208,10251481.096420208,10251481.096420208,11455652.467973778,11455652.467973778,11455652.467973778,11455652.467973778,ELP3
