Genes,1Y,4Y,8Y,23Y,30Y,36Y,40Y,Norm_Symbol
IQGAP1,170015159.39297274,305479190.51411283,346247433.3001121,261359154.12580323,300457056.66640383,494426797.3864394,295381477.36019695,IQGAP1
IQSEC1,1245139686.1639345,1543081695.28686,1818147854.0888786,1841871110.9647691,1553164437.0254388,1791858209.9984004,1438676158.8013446,IQSEC1
IQSEC2,1813385757.2154434,1523560678.326803,2109228769.9942613,2026348551.0775774,1425425089.7426856,1851732495.3284078,1099635152.3279884,IQSEC2
IQSEC3,43489078.3700186,57899919.52464123,40718572.54457454,117551526.94482423,19500236.44867192,98472365.85079738,19500236.44867192,IQSEC3
IRF2BP2,9852393.202077383,9852393.202077383,9852393.202077383,9631870.604543902,9631870.604543902,9631870.604543902,9631870.604543902,IRF2BP2
IRGQ,2009723259.545861,2005598616.1966612,1749788572.4257808,1475869029.6674116,1668300001.5497668,1476818426.5767186,1362109125.7709026,IRGQ
ISCA1,25019853.62278856,8490428.31565358,104695839.08382091,15441658.180532536,15441658.180532536,15441658.180532536,15441658.180532536,ISCA1
ISCA2,83241409.63981289,75630490.82857352,108102293.68674149,24270852.77113057,24270852.77113057,24270852.77113057,24270852.77113057,ISCA2
ISCU,224955459.53610787,173478729.07605457,685581568.0370121,593681682.8039665,515531866.57831347,581577319.426713,509411375.5880616,ISCU
ISG15,24022909.40034976,9710556.730266076,83430571.95831524,12130583.111429533,12130583.111429533,12130583.111429533,12130583.111429533,ISG15
ISLR2,145934290.6644991,70716545.88140096,67623753.96809979,17347811.228712365,17347811.228712365,17347811.228712365,17347811.228712365,ISLR2
