,Node1,Node2
472,DLGAP1,NRXN1
473,DLGAP1,PDE4B
474,DLGAP1,PPP1CC
475,DLGAP1,PPP3CA
476,DLGAP1,PPP3CB
477,DLGAP1,PRKCB
478,DLGAP1,PRKCG
479,DLGAP1,PTK2
480,DLGAP1,PURA
481,DLGAP1,RAB1
482,DLGAP1,RAC1
483,DLGAP1,RAP1A
484,DLGAP1,RAPGEF4
485,DLGAP1,RASAL2
486,DLGAP1,SEPT11
487,DLGAP1,SEPT2
488,DLGAP1,SEPT3
489,DLGAP1,SEPT5
490,DLGAP1,SEPT7
491,DLGAP1,SH3KBP1
492,DLGAP1,SHANK1
493,DLGAP1,SHANK2
494,DLGAP1,SHANK3
495,DLGAP1,SKT
496,DLGAP1,SNAP91
497,DLGAP1,SORBS1
498,DLGAP1,SORBS2
499,DLGAP1,SPNA2
500,DLGAP1,SPTBN1
501,DLGAP1,SPTBN2
502,DLGAP1,SYNE1
503,DLGAP1,SYNGAP1
504,DLGAP1,SYNPO
505,DLGAP1,TMEM132B
506,DLGAP1,TNIK
507,DLGAP1,TRIO
508,DLGAP1,UBE2N
509,DLGAP1,UBE2O
510,DLGAP1,WASF1
511,DLGAP1,YWHAB
512,DLGAP1,YWHAE
513,DLGAP1,YWHAG
514,DLGAP1,YWHAH
515,DLGAP1,YWHAQ
516,DLGAP1,YWHAZ
517,DLGAP1,CAPRIN1
518,DLGAP1,CTNNB1
519,DLGAP1,CYFIP1
520,DLGAP1,DLG1
521,DLGAP1,DLG2
522,DLGAP1,DLG3
523,DLGAP1,DLG4
524,DLGAP1,DLGAP2
525,DLGAP1,DLGAP3
526,DLGAP1,DLGAP4
527,DLGAP1,DLGAP5
528,DLGAP1,FMR1
529,DLGAP1,FXR1
530,DLGAP1,GRIN1
531,DLGAP1,GRIN2B
532,DLGAP1,HUWE1
533,DLGAP1,IQSEC1
534,DLGAP1,MAP4K4
535,DLGAP1,NEDD4L
536,DLGAP1,TNIK
537,DLGAP1,USP9X
538,DLGAP1,ABLIM1
539,DLGAP1,ADAM22
540,DLGAP1,AGAP2
541,DLGAP1,ARF3
542,DLGAP1,ARF5
543,DLGAP1,ARHGAP32
544,DLGAP1,ARVCF
545,DLGAP1,BAI3
546,DLGAP1,BAIAP2
547,DLGAP1,CAMK2A
548,DLGAP1,CAMK2B
549,DLGAP1,CAMK2D
550,DLGAP1,CAMK2G
551,DLGAP1,CIT
552,DLGAP1,CNKSR3
553,DLGAP1,CNTNAP1
554,DLGAP1,CTNNB1
555,DLGAP1,CTNND1
556,DLGAP1,CTNND2
557,DLGAP1,CYFIP1
558,DLGAP1,CYFIP2
559,DLGAP1,CYLD
560,DLGAP1,DAB2IP
561,DLGAP1,DIAPH1
562,DLGAP1,DLG1
563,DLGAP1,DLG2
564,DLGAP1,DLG3
565,DLGAP1,DLG4
566,DLGAP1,DLGAP2
567,DLGAP1,DLGAP3
568,DLGAP1,DLGAP4
569,DLGAP1,DNAJC6
570,DLGAP1,DNM1
571,DLGAP1,DPYSL2
572,DLGAP1,DSTN
573,DLGAP1,EPB4.1L1
574,DLGAP1,EPB41L3
575,DLGAP1,GDI2
576,DLGAP1,GIT1
577,DLGAP1,GLUL
578,DLGAP1,GNB1
579,DLGAP1,GNB2
580,DLGAP1,GNB2L1
581,DLGAP1,GRIA2
582,DLGAP1,GRIA3
583,DLGAP1,GRIN1
584,DLGAP1,GRIN2A
585,DLGAP1,GRIN2B
586,DLGAP1,GRIN2D
587,DLGAP1,GSN
588,DLGAP1,HOMER1
589,DLGAP1,HOMER3
590,DLGAP1,IQGAP2
591,DLGAP1,IQSEC1
592,DLGAP1,IQSEC2
593,DLGAP1,IQSEC3
594,DLGAP1,KCNAB1
595,DLGAP1,KCNJ1
596,DLGAP1,KCNJ4
597,DLGAP1,KIF5A
598,DLGAP1,KIF5C
599,DLGAP1,LGI1
600,DLGAP1,LRRC7
601,DLGAP1,MAP4K4
602,DLGAP1,MAPK1
603,DLGAP1,MINK1
604,DLGAP1,NBEA
605,DLGAP1,NCDN
606,DLGAP1,NCKAP1
607,DLGAP1,NEFH
608,DLGAP1,NEFL
609,DLGAP1,PPP1CA
610,DLGAP1,PPP3CA
611,DLGAP1,PPP6C
612,DLGAP1,PRKCB
613,DLGAP1,PRKCG
614,DLGAP1,PTK2
615,DLGAP1,PURA
616,DLGAP1,RAB1
617,DLGAP1,RAC1
618,DLGAP1,RAP1A
619,DLGAP1,RAPGEF4
620,DLGAP1,RASAL2
