Parent	Child	EdgeType
integral component of postsynaptic membrane	CANX	Gene-Term
extrinsic component of presynaptic active zone membrane	PHB	Gene-Term
presynaptic active zone	PHB2	Gene-Term
postsynaptic density	PHB	Gene-Term
postsynaptic density	PHB2	Gene-Term
integral component of synaptic vesicle membrane	SCAMP1	Gene-Term
presynapse	SLC2A4	Gene-Term
presynaptic active zone cytoplasmic component	TSPOAP1	Gene-Term
presynaptic active zone cytoplasmic component	RIMBP3	Gene-Term
presynaptic active zone cytoplasmic component	RIMBP2	Gene-Term
presynaptic active zone cytoplasmic component	RIMBP3B	Gene-Term
presynaptic active zone cytoplasmic component	RIMBP3C	Gene-Term
integral component of presynaptic membrane	CADM1	Gene-Term
presynaptic active zone cytoplasmic component	PCLO	Gene-Term
extrinsic component of synaptic vesicle membrane	SYN1	Gene-Term
integral component of synaptic vesicle membrane	VAMP7	Gene-Term
integral component of postsynaptic density membrane	ADCY1	Gene-Term
integral component of presynaptic membrane	ADCY8	Gene-Term
synapse	RIMS4	Gene-Term
presynaptic active zone cytoplasmic component	ERC1	Gene-Term
presynaptic active zone cytoplasmic component	ERC2	Gene-Term
integral component of presynaptic membrane	SLC6A5	Gene-Term
presynapse	CACNB4	Gene-Term
postsynaptic cytosol	BAIAP2	Gene-Term
presynaptic cytosol	BAIAP2	Gene-Term
presynaptic mitochondria	C1QBP	Gene-Term
presynaptic active zone	C1QBP	Gene-Term
presynapse	ROGDI	Gene-Term
anchored component of presynaptic active zone membrane	CACNA2D1	Gene-Term
presynapse	DPYSL2	Gene-Term
synapse	STX2	Gene-Term
integral component of synaptic vesicle membrane	MAL2	Gene-Term
integral component of synaptic vesicle membrane	SLC10A4	Gene-Term
presynaptic active zone cytoplasmic component	SYDE1	Gene-Term
presynaptic active zone cytoplasmic component	SYDE2	Gene-Term
presynapse	CACNB1	Gene-Term
integral component of synaptic vesicle membrane	CLCN3	Gene-Term
postsynaptic specialization, intracellular component	GPHN	Gene-Term
postsynaptic specialization, intracellular component	GPHN	Gene-Term
integral component of presynaptic membrane	EFNB1	Gene-Term
presynaptic active zone cytoplasmic component	CTBP1	Gene-Term
presynaptic active zone cytoplasmic component	CTBP2	Gene-Term
integral component of postsynaptic membrane	CLCN3	Gene-Term
integral component of presynaptic membrane	CACNA1B	Gene-Term
integral component of presynaptic active zone membrane	CACNA1A	Gene-Term
integral component of postsynaptic membrane	CACNA1C	Gene-Term
integral component of presynaptic membrane	CACNA1E	Gene-Term
integral component of presynaptic active zone membrane	CACNA1H	Gene-Term
integral component of presynaptic membrane	ATP1A3	Gene-Term
integral component of presynaptic membrane	EFNB2	Gene-Term
integral component of postsynaptic density membrane	EFNB2	Gene-Term
integral component of postsynaptic density membrane	EFNB3	Gene-Term
integral component of presynaptic membrane	EFNB3	Gene-Term
integral component of postsynaptic density membrane	ADAM22	Gene-Term
postsynaptic density, intracellular component	AKAP5	Gene-Term
synapse	FUBP1	Gene-Term
synaptic cleft	APOE	Gene-Term
presynapse	BACE1	Gene-Term
integral component of presynaptic active zone membrane	GPM6A	Gene-Term
presynapse	RPS27	Gene-Term
synapse	VCPIP1	Gene-Term
postsynapse	BEGAIN	Gene-Term
presynaptic actin cytoskeleton	ACTG1	Gene-Term
postsynaptic density, intracellular component	CDKL5	Gene-Term
integral component of presynaptic membrane	CNTNAP4	Gene-Term
postsynaptic density, intracellular component	SHANK3	Gene-Term
postsynaptic density	DRP2	Gene-Term
postsynapse	CPEB3	Gene-Term
presynaptic cytosol	HNRNPAB	Gene-Term
synapse	CYFIP2	Gene-Term
postsynapse	FXR2	Gene-Term
postsynapse	CYFIP1	Gene-Term
postsynapse	PRKAR2B	Gene-Term
synapse	PRKAR1A	Gene-Term
synapse	PRKAR1B	Gene-Term
synapse	PRKAR2A	Gene-Term
presynapse	EPHA3	Gene-Term
integral component of postsynaptic specialization membrane	EPHA7	Gene-Term
presynapse	UNC13C	Gene-Term
integral component of postsynaptic membrane	CACNA1E	Gene-Term
integral component of postsynaptic membrane	CACNA1H	Gene-Term
anchored component of postsynaptic membrane	CACNA2D1	Gene-Term
postsynaptic density	ABI1	Gene-Term
postsynapse	ELAVL1	Gene-Term
presynaptic cytosol	HAP1	Gene-Term
synapse	SLC18A1	Gene-Term
integral component of synaptic vesicle membrane	SLC18A2	Gene-Term
postsynapse	SLC18A2	Gene-Term
synaptic vesicle	DMXL2	Gene-Term
neuronal dense core vesicle	DMXL2	Gene-Term
postsynaptic cytosol	PLCB3	Gene-Term
postsynapse	NCKAP1	Gene-Term
synapse	ELAVL2	Gene-Term
synapse	VCP	Gene-Term
synapse	VCP	Gene-Term
