,genes
801,TBC1D22B
802,NDUFB4
803,SPEN
804,MYLK
805,ZC3H15
806,MAP2K4
807,TMEM206
808,SNAP91
809,SLK
810,CYB5R4
811,COL17A1
812,GSTO2
813,SEC61A2
814,PRKCQ
815,TLE2
816,ASB1
817,FAM107B
818,ME1
819,TBC1D1
820,CDK13
821,MTHFD2
822,SLC9A7
823,FOXJ2
824,YBX1
825,PDE4A
826,PPP2R5A
827,ELAVL1
828,DIP2B
829,SMARCD1
830,KDM4A
831,NFYC
832,SLC9A3
833,NGEF
834,ASPM
835,ELOVL1
836,ZNRD1
837,MPPED2
838,CLDN18
839,ZBTB11
840,ATXN3
841,GOLGA5
842,FGFR2
843,LRRC40
844,ISOC1
845,EML1
846,TRMT11
847,THUMPD1
848,MSANTD3
849,KIF26A
850,ATG2B
851,ARFGEF1
852,ACSM2B
853,ZFAT
854,MTFR1
855,STAG3
856,FECH
857,MYO9A
858,PFKP
859,IDI1
860,SP100
861,KLF6
862,PLPP1
863,NEO1
864,TRAM1
865,PHKA1
866,TNFRSF1A
867,CACNB1
868,EVI5
869,STOML1
870,PKM
871,DHX29
872,DNTTIP2
873,METTL22
874,TP53BP1
875,TRO
876,RRP15
877,RHOA
878,DHX8
879,PRKCZ
880,IARS2
881,SYT1
882,NAV3
883,IDH3G
884,ROGDI
885,PDZD4
886,ROCK1
887,CBFB
888,PDK3
889,HYAL2
890,HDAC4
891,RASSF1
892,FGFR3
893,IFI35
894,HEATR6
895,COASY
896,PLEKHH3
897,MEF2A
898,OTUD5
899,TFE3
900,TBC1D25
901,ACSL4
902,INPP5A
903,GPKOW
904,GRIPAP1
905,FTSJ1
906,PRR11
907,REEP1
908,ATP11A
909,POLR1A
910,LAPTM4A
911,TTC7A
912,IP6K2
913,STON1-GTF2A1L
914,SRBD1
915,KIF2A
916,RASGRP2
917,PSME4
918,IFT80
919,SIRT2
920,ERLEC1
921,PPP2R5B
922,PYGM
923,PITX1
924,MAST4
925,ADGRF5
926,SDK2
927,NUP133
928,NUCKS1
929,VPS35
930,DNAJA2
931,BCL3
932,KCNAB2
933,ABCC9
934,GAL
935,CLEC2D
936,FUNDC1
937,MAOB
938,RORA
939,DRD4
940,TGFBR3
941,HES2
942,ATP1B3
943,NEDD4
944,PIGB
945,MAPK6
946,GNB5
947,RAB27A
948,HDHD5
949,UFD1
950,LRP6
951,SCT
952,ELP1
953,NUCB2
954,PFN2
955,PTPN3
956,SPTB
957,SLC44A1
958,TMEM260
959,SMG6
960,EXOC5
961,CLTCL1
962,FGF22
963,FSTL3
964,DGCR2
965,RNF126
966,MNT
967,ZXDC
968,JMJD6
969,POLB
970,WIPI1
971,FRMPD1
972,GBA2
973,NDST1
974,ASNS
975,AP3M2
976,PABPC1
977,TESK2
978,CFAP20
979,CSNK2A2
980,PTPN21
981,EIF2B3
982,TCOF1
983,CDC42
984,OSBPL3
985,EPHA8
986,RAD18
987,ATP2B1
988,NCK2
989,MAP4K4
990,MGAT4A
991,RPL31
992,WDR1
993,SNX13
994,ARHGAP10
995,RPS6KA2
996,ING3
997,VASH1
998,LMCD1
999,BUD23
1000,SEL1L
1001,TRIP13
1002,ATP6AP1
1003,TCF3
1004,TRIB2
1005,DAZAP1
1006,MBD3
1007,HLTF
1008,FAM50A
1009,FAM3A
1010,CPSF1
1011,CYBRD1
1012,PDCD2
1013,SLC6A15
1014,RDH11
1015,PRKACA
1016,ADGRL1
1017,ACTN1
1018,ZFYVE26
1019,RPS6KA6
1020,EPN2
1021,PTPN18
1022,LIMS2
1023,SPEG
1024,LNX1
1025,ALDH3A2
1026,TFRC
1027,SREBF1
1028,AFF4
1029,UBE2D1
1030,MPP5
1031,RHOBTB1
1032,SMC1A
1033,HSD17B10
1034,MARK2
1035,HMMR
1036,CHFR
1037,P4HA2
1038,NFATC3
1039,TRNT1
1040,ACADVL
1041,STK10
1042,FBXW11
1043,CRMP1
1044,EVC
1045,DERL2
1046,NDE1
1047,MRVI1
1048,TMEM38A
1049,AP1M1
1050,PVR
1051,XRCC1
1052,SCARB1
1053,CYP2W1
1054,MCM2
1055,PANX2
1056,SELENOO
1057,ALPK1
1058,LLGL2
1059,PDE8A
1060,CLCN4
1061,NLE1
1062,SDHA
1063,SMARCE1
1064,FNDC8
1065,GSDMB
1066,KDM5A
1067,ADAM11
1068,PPP2R3A
1069,FERMT2
1070,DHRS9
1071,IGF2BP2
1072,MAP3K13
1073,ST6GAL1
1074,FRY
1075,PICALM
1076,NSF
1077,GLI2
1078,CLASP1
1079,MRPS34
1080,NOTCH3
1081,CLNS1A
1082,PPP2R2C
1083,TEAD2
1084,EED
1085,SNCB
1086,TSG101
1087,NCBP3
1088,ATP2A3
1089,CA12
1090,MGLL
1091,NTN4
1092,BCS1L
1093,NUAK1
1094,DPP8
1095,SLC24A1
1096,ZNF532
1097,LMAN1
1098,HACD3
1099,IPCEF1
1100,ZZEF1
1101,ENO1
1102,MYDGF
1103,ANO8
1104,TUBE1
1105,ARHGEF10L
1106,TXK
1107,KCNQ2
1108,TACR2
1109,ACTR6
1110,TIPIN
1111,SRI
1112,EIF4G3
1113,NUP37
1114,SEMA3A
1115,GTSE1
1116,SEMA3C
1117,TTC38
1118,ACAT1
1119,GRAMD4
1120,CELSR1
1121,WNT8B
1122,ZNF638
1123,SLC25A40
1124,TIMM21
1125,ADD2
1126,RASAL2
1127,VPS9D1
1128,ZNF37A
1129,MARK3
1130,SLC25A3
1131,FNDC3B
1132,FOSL2
1133,CACNG4
1134,FRYL
1135,TMEM131
1136,FSCN1
1137,ACTB
1138,MOCOS
1139,PLD1
1140,ATP12A
1141,WDR62
1142,DLG1
1143,RAB7A
1144,BCAP29
1145,SEC31B
1146,SART3
1147,TUBA3D
1148,EXOSC7
1149,KIFAP3
1150,MKRN2
1151,MCM6
1152,REXO2
1153,RBM7
1154,RBMS2
1155,BAZ2A
1156,PTPN23
1157,MLH1
1158,UNG
1159,FMO4
1160,KLHL20
1161,SLC46A1
1162,PLXNA2
1163,SPAG5
1164,ANKRD13A
1165,TPD52
1166,ACACB
1167,TRAF4
1168,PAG1
1169,GPATCH1
1170,ICAM3
1171,NT5C2
1172,MCAM
1173,GPC4
1174,MBNL3
1175,CAMSAP3
1176,RAP1GAP
1177,XAB2
1178,ARHGEF1
1179,STXBP2
1180,MAP2K7
1181,NMRK2
1182,DGKD
1183,CTTNBP2
1184,ACTL6B
1185,RARB
1186,TOP2B
1187,TM9SF3
1188,NFKB2
1189,UBE2T
1190,PPP1R12B
1191,DNAJC10
1192,GTF3C1
1193,IL4R
1194,USP33
1195,PAK3
1196,SNRPA
1197,SPAG6
1198,EXOSC5
1199,DYNC1I2
1200,LRCH4
1201,FAM76B
1202,SIRT6
1203,POLD3
1204,ACTN2
1205,CAPZB
1206,GPR137B
1207,NAALAD2
1208,JADE1
1209,SLC25A43
1210,UBE2A
1211,FGFR1
1212,FBLN1
1213,ITGA8
1214,CST7
1215,MAP2
1216,PIAS2
1217,AMPH
1218,ARAF
1219,MCCC1
1220,LAMP3
1221,NEBL
1222,ACER3
1223,UBE2K
1224,PIK3C3
1225,N4BP2
1226,TIGAR
1227,TULP3
1228,SYNJ2
1229,PPP2R5C
1230,GNB1
1231,HOXA9
1232,MLLT10
1233,ZCWPW1
1234,ADCYAP1R1
1235,NRDC
1236,VDAC3
1237,PCM1
1238,TNRC6C
1239,CBFA2T2
1240,ITCH
1241,PKD2L2
1242,TP53INP2
1243,SDF4
1244,MYH7B
1245,TP73
1246,TOLLIP
1247,UBE2D4
1248,CLUL1
1249,RUNX1T1
1250,CDH17
1251,THOC1
1252,FKBP7
1253,OSBPL6
1254,SLC1A3
1255,XRCC5
1256,LXN
1257,MKNK1
1258,TNS1
1259,REXO1
1260,SAR1A
1261,CDC14A
1262,RAPGEF3
1263,CEACAM1
1264,SENP1
1265,CIC
1266,LIPE
1267,FDFT1
1268,PAFAH1B3
1269,OPHN1
1270,KIF22
1271,CARMIL1
1272,PGM1
1273,DDX1
1274,DNM2
1275,EPB41L2
1276,RIMS1
1277,MOXD1
1278,STX7
1279,RABL2B
1280,KEAP1
1281,PTPRH
1282,DCT
1283,SLC35C2
1284,CRYBG3
1285,EPHA6
1286,RFX3
1287,RIF1
1288,RAB21
1289,SLC4A4
1290,SMARCA2
1291,SESN1
1292,MID2
1293,SRCAP
1294,PUM3
1295,CPB2
1296,CHRNA3
1297,CNOT4
1298,PSEN1
1299,CPOX
1300,CLDND1
1301,MOK
1302,HSP90AA1
1303,RBL1
1304,DLGAP4
1305,IGSF9B
1306,NDC80
1307,AP4E1
1308,RSBN1
1309,MAGI3
1310,CXCL2
1311,COL4A4
1312,TCF7
1313,OSTM1
1314,CDH7
1315,PCNP
1316,EXD2
1317,ARG2
1318,MEF2C
1319,UBA5
1320,STK17B
1321,CDC14B
1322,ZNF510
1323,LRP2
1324,ZNF506
1325,JMJD4
1326,DUSP12
1327,AACS
1328,KIAA0141
1329,CADPS2
1330,HSPB11
1331,PHLPP1
1332,ATP8B1
1333,IL12RB2
1334,SMARCD3
1335,WDR70
1336,STRADB
1337,BZW1
1338,ME2
1339,C5orf22
1340,CCNT2
1341,FAM135A
1342,COL19A1
1343,EPB41L3
1344,COBLL1
1345,DLG3
1346,KCNK2
1347,SERTAD4
1348,TRAF5
1349,MRPL22
1350,GEMIN5
1351,NFE2L1
1352,SEMA5B
1353,GSK3B
1354,ITGB5
1355,ERC1
1356,XPO1
1357,RNF13
1358,TRPM3
1359,PALB2
1360,DOPEY1
1361,LYRM2
1362,BCKDHB
1363,KAT6A
1364,ZCCHC6
1365,ULK2
1366,TNPO1
1367,PLOD1
1368,P2RX5
1369,DIS3
1370,PIBF1
1371,TDRD3
1372,NUFIP1
1373,PDS5B
1374,OXCT1
1375,RRAGB
1376,CYLD
1377,SLC27A5
1378,ZNF324
1379,ZNF671
1380,ZNF416
1381,ZNF586
1382,ZNF446
1383,ZNF264
1384,RPS5
1385,FAT1
1386,YTHDC1
1387,CHMP2B
1388,SMAP2
1389,PPIE
1390,ZMPSTE24
1391,STARD7
1392,NOA1
1393,REST
1394,HAL
1395,SSH1
1396,GSTP1
1397,APLP2
1398,FAM234B
1399,SLCO1A2
1400,WBP11
1401,EIF3I
1402,NKAIN1
1403,COL16A1
1404,TXLNA
1405,NCOA1
1406,AGBL5
1407,EFR3B
1408,KIF3C
1409,RAB10
1410,HADHA
1411,MAPRE3
1412,CAD
1413,CD59
1414,CD82
1415,BCORL1
1416,ATRX
1417,AK6
1418,MYNN
1419,MECOM
1420,SCAMP1
1421,PREP
1422,HACE1
1423,SEH1L
1424,WDR47
1425,WDFY1
1426,OVGP1
1427,SLC25A24
1428,MAP3K4
1429,PILRA
1430,IGSF9
1431,ABCB1
1432,ZNF213
1433,AKR1B1
1434,CPNE3
1435,RRN3
1436,CTTN
1437,WNT11
1438,MTIF2
1439,DDHD2
1440,TTC39A
1441,EPS15
1442,ORC1
1443,MGST2
1444,CHERP
1445,ATG16L1
1446,USP40
1447,POMGNT1
1448,RAD54L
1449,MAST2
1450,DNAJA1
1451,B4GALT1
1452,CHMP5
1453,NFX1
1454,AQP6
1455,DIMT1
1456,IPO11
1457,FOLH1
1458,EIF2AK1
1459,EPDR1
1460,SNX10
1461,SEPHS1
1462,MRPL28
1463,ITPKC
1464,CEACAM6
1465,FAT2
1466,RBM22
1467,TMED2
1468,ERO1B
